customer_id,customer_name,frequency,monetary,frequency_segment,spend_segment
CUST-00444,Jackson Batta,3,43516.79,Occasional,Medium
CUST-00048,Bhavna Srinivasan,4,42994.1,Occasional,Medium
CUST-00439,Pahal Trivedi,5,42723.88,Loyal,Medium
CUST-00430,Faraj Saraf,2,42617.22,Occasional,Medium
CUST-00129,Vanya Thaman,3,42263.44,Occasional,Medium
CUST-00209,Umang Shetty,3,41902.69,Occasional,Medium
CUST-00046,Siya Desai,3,41783.0,Occasional,Medium
CUST-00412,Vedika Malhotra,2,41722.31,Occasional,Medium
CUST-00063,Yatin Bumb,4,41531.31,Occasional,Medium
CUST-00217,Manthan Shere,4,41326.91,Occasional,Medium
CUST-00395,Darika Zacharia,3,41288.68,Occasional,Medium
CUST-00312,Vedhika Som,3,41206.05,Occasional,Medium
CUST-00298,Baljiwan Chaudhuri,3,41063.35,Occasional,Medium
CUST-00030,Champak Memon,2,41019.61,Occasional,Medium
CUST-00426,Chaitanya Singhal,3,40962.75,Occasional,Medium
CUST-00174,Harita Sandal,3,40940.91,Occasional,Medium
CUST-00069,Mitali Reddy,4,40896.55,Occasional,Medium
CUST-00452,Sara Vasa,3,40883.56,Occasional,Medium
CUST-00111,Raagini Upadhyay,3,40829.59,Occasional,Medium
CUST-00077,Jasmit Reddy,2,40552.42,Occasional,Medium
CUST-00244,Ridhi Mistry,4,40450.41,Occasional,Medium
CUST-00465,Henry Som,3,40397.88,Occasional,Medium
CUST-00277,Dhruv Bose,2,40285.79,Occasional,Medium
CUST-00347,Faras Sampath,2,40247.99,Occasional,Medium
CUST-00005,Harrison Chada,3,40197.61,Occasional,Medium
CUST-00344,Gaurika Bhatia,5,40146.11,Loyal,Medium
CUST-00494,Shravya Patil,6,40007.11,Loyal,Medium
CUST-00242,Geetika Keer,4,39988.52,Occasional,Medium
CUST-00352,Chanakya Rastogi,4,39968.92,Occasional,Medium
CUST-00206,Gaurika Dhar,4,39671.69,Occasional,Medium
CUST-00145,Kalpit Mitra,2,39648.56,Occasional,Medium
CUST-00084,Dominic Dutt,4,39595.89,Occasional,Medium
CUST-00370,Daniel Ravel,2,38825.99,Occasional,Medium
CUST-00221,Chanchal Bhat,3,38814.49,Occasional,Medium
CUST-00500,Tarak Pall,4,38777.29,Occasional,Medium
CUST-00025,Bachittar Ben,4,38530.87,Occasional,Medium
CUST-00033,Chatura Balay,3,38154.6,Occasional,Medium
CUST-00398,Ucchal Kamdar,5,38148.51,Loyal,Medium
CUST-00225,Mohini Apte,2,37414.32,Occasional,Medium
CUST-00215,Hemani Gokhale,2,37099.32,Occasional,Medium
CUST-00381,Azaan Sehgal,5,36848.27,Loyal,Medium
CUST-00247,Ayaan Dave,5,36799.88,Loyal,Medium
CUST-00415,Triya Krishna,3,36625.23,Occasional,Medium
CUST-00385,Eesha Kibe,3,36583.34,Occasional,Medium
CUST-00358,Raghav Kumar,4,36544.41,Occasional,Medium
CUST-00432,Nimrat Krishna,4,36174.31,Occasional,Medium
CUST-00038,Oliver Agate,4,35948.89,Occasional,Medium
CUST-00074,Tanvi Peri,2,35802.47,Occasional,Medium
CUST-00360,Tanvi Bath,3,35621.21,Occasional,Medium
CUST-00313,Ojas Seth,3,35429.15,Occasional,Medium
CUST-00195,Gaurav Narasimhan,3,34771.65,Occasional,Medium
CUST-00282,Yatin Chandra,4,34739.92,Occasional,Medium
CUST-00075,Advik Konda,1,34649.36,One-Time,Medium
CUST-00428,Harrison Kashyap,3,34629.91,Occasional,Medium
CUST-00306,Watika Sodhi,3,34610.32,Occasional,Medium
CUST-00307,Megha Balan,3,34592.59,Occasional,Medium
CUST-00153,Ekalinga Bala,4,34303.56,Occasional,Medium
CUST-00411,Faras Bhalla,5,34290.63,Loyal,Medium
CUST-00270,Brinda Lad,3,34242.71,Occasional,Medium
CUST-00186,Ansh Deo,2,34229.5,Occasional,Medium
CUST-00022,Raagini Bahri,2,34095.72,Occasional,Medium
CUST-00155,Balendra Roy,2,33998.92,Occasional,Medium
CUST-00052,Chakrika Gour,4,33988.02,Occasional,Medium
CUST-00163,Oni Gola,4,33959.42,Occasional,Medium
CUST-00258,Tanay Bansal,3,33869.09,Occasional,Medium
CUST-00214,Yachana Aggarwal,4,33655.32,Occasional,Medium
CUST-00067,Abhiram Karpe,4,33613.22,Occasional,Medium
CUST-00374,Mugdha Gaba,3,33547.6,Occasional,Medium
CUST-00171,Raagini Borah,3,33366.08,Occasional,Medium
CUST-00004,Om Samra,4,33312.14,Occasional,Medium
CUST-00485,Caleb Trivedi,3,33249.75,Occasional,Medium
CUST-00373,Christopher Chad,5,32052.47,Loyal,Medium
CUST-00228,Harinakshi Tailor,2,31824.08,Occasional,Medium
CUST-00213,Ikbal Bedi,5,31666.38,Loyal,Medium
CUST-00091,Niharika Bhardwaj,4,31617.2,Occasional,Medium
CUST-00138,Sai Dugal,3,31559.47,Occasional,Medium
CUST-00059,Lipika Varty,1,31417.67,One-Time,Medium
CUST-00234,Neha Purohit,5,31366.25,Loyal,Medium
CUST-00169,Atharv Baria,4,31316.77,Occasional,Medium
CUST-00036,Aayush Maharaj,3,31078.11,Occasional,Medium
CUST-00365,Ayush Zacharia,3,30905.22,Occasional,Medium
CUST-00165,Praneel Shroff,4,30777.12,Occasional,Medium
CUST-00113,Ati Sundaram,3,30724.11,Occasional,Medium
CUST-00190,Henry Lad,3,30612.8,Occasional,Medium
CUST-00482,Gauri Parmer,5,30524.62,Loyal,Medium
CUST-00459,Damyanti Som,5,30404.43,Loyal,Medium
CUST-00269,Ikshita Sharma,2,30345.85,Occasional,Medium
CUST-00218,Ekavir Mukherjee,3,30096.34,Occasional,Medium
CUST-00116,Pavani Swaminathan,4,30056.39,Occasional,Medium
CUST-00112,Logan Manne,5,29940.85,Loyal,Medium
CUST-00050,Xalak Khosla,2,29680.02,Occasional,Medium
CUST-00396,Samarth Johal,3,29469.69,Occasional,Medium
CUST-00425,Anamika Uppal,3,29250.73,Occasional,Medium
CUST-00284,Ekaraj Sibal,2,29129.35,Occasional,Medium
CUST-00457,Watika Kota,3,28874.87,Occasional,Medium
CUST-00160,Owen Upadhyay,2,28863.97,Occasional,Medium
CUST-00488,Kai Johal,2,28850.91,Occasional,Medium
CUST-00180,Ekaraj Tripathi,2,28707.0,Occasional,Medium
CUST-00340,Charvi Srinivasan,4,28648.78,Occasional,Medium
CUST-00020,Mitali Bhargava,3,28521.35,Occasional,Medium
CUST-00376,Jairaj Goel,4,28519.23,Occasional,Medium
CUST-00296,Warinder Shroff,4,28356.91,Occasional,Medium
CUST-00362,Lucky Gokhale,4,28293.26,Occasional,Medium
CUST-00092,Falak Gopal,3,28287.19,Occasional,Medium
CUST-00393,Vamakshi Gupta,3,28263.57,Occasional,Medium
CUST-00014,Aarna Prashad,2,28244.67,Occasional,Medium
CUST-00303,Dev Ganguly,3,28081.49,Occasional,Medium
CUST-00259,Oeshi Wali,1,28042.94,One-Time,Medium
CUST-00387,Sai Dube,2,27896.16,Occasional,Medium
CUST-00012,Mohammed Sankar,3,27864.72,Occasional,Medium
CUST-00328,Chakradev Madan,2,27850.28,Occasional,Medium
CUST-00364,Urmi Wali,2,27848.22,Occasional,Medium
CUST-00078,Hiral Contractor,3,27818.14,Occasional,Medium
CUST-00404,Pushti Raghavan,3,27775.71,Occasional,Medium
CUST-00254,Fitan Khanna,4,27739.83,Occasional,Medium
CUST-00368,Yochana Kari,2,27721.04,Occasional,Medium
CUST-00458,Onveer Banerjee,4,27697.22,Occasional,Medium
CUST-00276,Vasana Nayak,1,27584.28,One-Time,Medium
CUST-00080,Dominic Sankaran,2,27578.93,Occasional,Medium
CUST-00237,Dalaja Parsa,2,27571.57,Occasional,Medium
CUST-00125,Rachita Gola,3,27551.27,Occasional,Medium
CUST-00245,Rohan Krishnamurthy,4,27495.09,Occasional,Medium
CUST-00338,Charan Sidhu,3,27475.57,Occasional,Medium
CUST-00260,Jhalak Hans,1,27393.99,One-Time,Medium
CUST-00497,Harish Nazareth,4,26911.3,Occasional,Medium
CUST-00150,Megha Chaudhary,3,26807.51,Occasional,Medium
CUST-00041,Pallavi Dayal,4,26682.24,Occasional,Medium
CUST-00372,Gautami Boase,4,26612.64,Occasional,Medium
CUST-00467,Bimala Issac,5,26443.91,Loyal,Medium
CUST-00291,Gautami Sodhi,3,26386.14,Occasional,Medium
CUST-00473,Anita Solanki,3,26310.07,Occasional,Medium
CUST-00375,Sarthak Ravi,4,26273.38,Occasional,Medium
CUST-00380,Shravya Jaggi,2,26152.95,Occasional,Medium
CUST-00236,Neelima Bhardwaj,2,26016.34,Occasional,Medium
CUST-00229,Fitan Sarkar,4,25791.46,Occasional,Medium
CUST-00249,Zashil Desai,4,25735.42,Occasional,Medium
CUST-00336,Ishani Deshmukh,4,25595.54,Occasional,Medium
CUST-00158,Orinder Purohit,3,25487.03,Occasional,Medium
CUST-00222,Utkarsh Bhasin,2,25175.91,Occasional,Medium
CUST-00318,Anusha Kalla,2,25174.88,Occasional,Medium
CUST-00071,Veer Sharaf,4,25114.67,Occasional,Medium
CUST-00157,Irya Narayan,3,25112.93,Occasional,Medium
CUST-00399,Rachana Pal,4,25027.87,Occasional,Medium
CUST-00386,Netra Hayre,3,24925.54,Occasional,Medium
CUST-00477,Omaja Dugar,4,24873.15,Occasional,Medium
CUST-00154,Shaurya Raja,3,24816.67,Occasional,Medium
CUST-00210,Warda Yadav,1,24776.32,One-Time,Medium
CUST-00349,Upma Amble,3,24744.89,Occasional,Medium
CUST-00107,Ronith Nair,2,24494.59,Occasional,Medium
CUST-00320,Umang Bhardwaj,2,24431.77,Occasional,Medium
CUST-00480,Radhika Hayre,4,24344.67,Occasional,Medium
CUST-00490,Oliver Chad,2,24298.48,Occasional,Medium
CUST-00024,Harinakshi Khurana,3,24226.45,Occasional,Medium
CUST-00382,Gavin Sanghvi,3,24150.48,Occasional,Medium
CUST-00392,Orinder Panchal,4,24134.0,Occasional,Medium
CUST-00183,Timothy Nigam,2,24119.81,Occasional,Medium
CUST-00170,Tanay Tripathi,3,24101.96,Occasional,Medium
CUST-00216,Logan Murty,4,23948.15,Occasional,Medium
CUST-00466,Omaja Shukla,3,23919.99,Occasional,Medium
CUST-00185,Jeet Deo,2,23901.7,Occasional,Medium
CUST-00253,Harini Dhar,1,23775.65,One-Time,Medium
CUST-00224,Urishilla Sibal,2,23752.35,Occasional,Medium
CUST-00389,Qasim Sha,3,23689.01,Occasional,Medium
CUST-00104,Jacob Sastry,1,23484.05,One-Time,Medium
CUST-00445,Oeshi Nori,1,23465.06,One-Time,Medium
CUST-00085,Divya Chhabra,2,23426.75,Occasional,Medium
CUST-00423,Yagnesh Raghavan,2,23378.8,Occasional,Medium
CUST-00073,Wriddhish Guha,3,23353.48,Occasional,Medium
CUST-00061,Veda Padmanabhan,4,23192.81,Occasional,Medium
CUST-00203,Saanvi Bajwa,5,23171.91,Loyal,Medium
CUST-00053,Teerth Narasimhan,3,22621.79,Occasional,Medium
CUST-00019,Dakshesh Koshy,5,22595.61,Loyal,Medium
CUST-00472,Qasim Shanker,2,22587.32,Occasional,Medium
CUST-00179,Shaurya Sur,1,22436.65,One-Time,Medium
CUST-00006,Victor Vora,2,22431.9,Occasional,Medium
CUST-00257,Ayushman Nigam,3,22239.45,Occasional,Medium
CUST-00164,Ekansh Narayan,3,22202.46,Occasional,Medium
CUST-00403,Leena Shetty,4,22117.1,Occasional,Medium
CUST-00391,Samarth Om,3,22099.1,Occasional,Medium
CUST-00252,Pratyush Sandhu,5,22073.38,Loyal,Medium
CUST-00397,Prisha Mitra,2,21994.35,Occasional,Medium
CUST-00388,Balendra Sem,3,21971.91,Occasional,Medium
CUST-00231,Charles Soni,2,21956.88,Occasional,Medium
CUST-00339,Luke Raj,2,21952.74,Occasional,Medium
CUST-00099,Liam Joshi,5,21901.25,Loyal,Medium
CUST-00275,Laksh Suresh,3,21599.64,Occasional,Medium
CUST-00435,Finn Dar,3,21541.71,Occasional,Medium
CUST-00464,Viraj Balakrishnan,2,21016.38,Occasional,Medium
CUST-00121,Yash Dhaliwal,2,20902.39,Occasional,Medium
CUST-00463,Dominic Rajan,2,20869.13,Occasional,Medium
CUST-00223,Chakradev Karnik,3,20607.23,Occasional,Medium
CUST-00140,Aayush Sodhi,2,20539.42,Occasional,Medium
CUST-00302,Faqid Bassi,3,20493.81,Occasional,Medium
CUST-00421,Omkaar Khare,4,20435.02,Occasional,Medium
CUST-00440,Bahadurjit Salvi,3,20373.18,Occasional,Medium
CUST-00205,Siddharth Varkey,2,20354.9,Occasional,Medium
CUST-00173,Kabir Krishna,4,20289.01,Occasional,Medium
CUST-00021,Avni Tiwari,3,19906.24,Occasional,Medium
CUST-00478,Alka Manne,3,19846.83,Occasional,Medium
CUST-00297,Guneet Som,5,19568.23,Loyal,Medium
CUST-00402,Lila Basu,2,19538.98,Occasional,Medium
CUST-00292,Gunbir Mukhopadhyay,4,19464.88,Occasional,Medium
CUST-00295,Arin Varty,1,19324.39,One-Time,Medium
CUST-00196,Krishna Sibal,3,19130.92,Occasional,Medium
CUST-00498,Nachiket Johal,2,19043.68,Occasional,Medium
CUST-00055,Vyanjana Oommen,2,18981.59,Occasional,Medium
CUST-00108,Avni Nayak,1,18901.26,One-Time,Medium
CUST-00049,Vedhika Randhawa,3,18688.22,Occasional,Medium
CUST-00039,Bhavna Ramaswamy,4,18320.27,Occasional,Medium
CUST-00086,Hiral Divan,2,18308.96,Occasional,Medium
CUST-00167,Yahvi Suri,3,18053.6,Occasional,Medium
CUST-00424,Pranav Pandya,2,17822.48,Occasional,Medium
CUST-00248,Sai Dube,2,17452.59,Occasional,Medium
CUST-00147,Tripti Dayal,2,17196.53,Occasional,Medium
CUST-00377,David Dugal,2,17189.16,Occasional,Medium
CUST-00356,Anvi Ben,1,17100.39,One-Time,Medium
CUST-00110,Ronith Varma,4,17023.77,Occasional,Medium
CUST-00243,Vasudha Rai,4,16802.43,Occasional,Medium
CUST-00442,Xavier Gulati,2,16695.6,Occasional,Medium
CUST-00220,Falan Kadakia,3,16610.54,Occasional,Medium
CUST-00072,Bimala Bains,2,16545.6,Occasional,Medium
CUST-00256,Vinaya Sharma,3,16469.28,Occasional,Medium
CUST-00117,Jack Chandran,3,16411.05,Occasional,Medium
CUST-00109,Yagnesh Nigam,3,16385.84,Occasional,Medium
CUST-00394,Nachiket Sankaran,2,16028.06,Occasional,Medium
CUST-00197,Manthan Balan,1,15973.78,One-Time,Medium
CUST-00023,Devika Sarin,1,15971.03,One-Time,Medium
CUST-00471,Tristan Borde,3,15889.88,Occasional,Medium
CUST-00235,Amruta Viswanathan,1,15884.8,One-Time,Medium
CUST-00379,Urvi Kala,4,15845.12,Occasional,Medium
CUST-00062,Unnati Natt,4,15672.06,Occasional,Medium
CUST-00103,Nachiket Balan,2,15508.34,Occasional,Medium
CUST-00496,Kai Suresh,2,15441.53,Occasional,Medium
CUST-00148,Vivaan Mital,2,15436.02,Occasional,Medium
CUST-00317,Saksham Khosla,3,15418.64,Occasional,Medium
CUST-00271,Kashish Mittal,4,15177.78,Occasional,Medium
CUST-00018,Aarav Vyas,2,15108.65,Occasional,Medium
CUST-00474,Nilima Lanka,3,14940.71,Occasional,Medium
CUST-00322,Jhalak Pandey,3,14867.33,Occasional,Medium
CUST-00087,Anusha Shukla,2,14790.61,Occasional,Medium
CUST-00429,Janya Doctor,2,14779.92,Occasional,Medium
CUST-00200,Chaman De,1,14739.04,One-Time,Medium
CUST-00002,Pallavi Som,3,14546.14,Occasional,Medium
CUST-00448,Yuvraj Sethi,2,14367.86,Occasional,Medium
CUST-00043,Ishaan Ramachandran,2,14349.25,Occasional,Medium
CUST-00240,Urvashi Anand,4,14331.86,Occasional,Medium
CUST-00083,Atharv Tailor,2,14227.12,Occasional,Medium
CUST-00178,Aadi Bhat,4,14070.08,Occasional,Medium
CUST-00321,Avi Dewan,2,13660.01,Occasional,Medium
CUST-00250,Upma Raj,1,13575.13,One-Time,Medium
CUST-00082,Ubika Nagar,3,13173.95,Occasional,Medium
CUST-00114,Matthew Bhakta,1,13148.67,One-Time,Medium
CUST-00456,Yashica Ramakrishnan,1,12967.01,One-Time,Medium
CUST-00096,Sneha Pingle,3,12789.7,Occasional,Medium
CUST-00168,Aarav Bose,2,12787.52,Occasional,Medium
CUST-00208,Hritik Dasgupta,1,12770.91,One-Time,Medium
CUST-00286,Waida Apte,2,12721.18,Occasional,Medium
CUST-00176,Teerth Hari,2,12718.04,Occasional,Medium
CUST-00098,Wyatt Dubey,1,12579.91,One-Time,Medium
CUST-00003,Caleb Loyal,1,12579.26,One-Time,Medium
CUST-00285,Bishakha Bal,1,12163.21,One-Time,Medium
CUST-00410,Niharika Dutt,3,12113.17,Occasional,Medium
CUST-00290,Hardik Suresh,3,12032.66,Occasional,Medium
CUST-00131,Laban Wadhwa,2,11948.68,Occasional,Medium
CUST-00332,Chanakya Kanda,3,11888.3,Occasional,Medium
CUST-00056,Fiyaz Nagarajan,1,11874.5,One-Time,Medium
CUST-00461,Tanvi Pathak,2,11724.97,Occasional,Medium
CUST-00491,Maya Wali,1,11582.66,One-Time,Medium
CUST-00345,Ria Natt,2,11552.05,Occasional,Medium
CUST-00383,Lajita Pandey,1,11195.52,One-Time,Medium
CUST-00202,Abdul Murty,2,11149.48,Occasional,Medium
CUST-00310,Varsha Devan,3,11128.25,Occasional,Medium
CUST-00407,Kamya Loke,3,10999.33,Occasional,Medium
CUST-00337,Aishani Gopal,1,10929.75,One-Time,Medium
CUST-00324,Upasna Ray,1,10926.74,One-Time,Medium
CUST-00422,Omkaar Bhatnagar,1,10713.98,One-Time,Medium
CUST-00076,Libni Pingle,2,10621.71,Occasional,Medium
CUST-00161,Varsha Setty,1,10614.03,One-Time,Medium
CUST-00115,Barkha Ahuja,2,10589.38,Occasional,Medium
CUST-00146,Reva Prabhu,2,10519.27,Occasional,Medium
CUST-00487,Nitara Gandhi,1,10426.98,One-Time,Medium
CUST-00483,Victor Sheth,2,10383.7,Occasional,Medium
CUST-00047,Varsha Sastry,2,10273.82,Occasional,Medium
CUST-00007,Chameli Bath,3,10229.93,Occasional,Medium
CUST-00010,Brinda Raman,1,10018.58,One-Time,Medium
CUST-00262,Chameli Chahal,2,9531.15,Occasional,Low
CUST-00462,Bishakha Gara,2,9350.2,Occasional,Low
CUST-00314,Kabir Bahri,5,9332.7,Loyal,Low
CUST-00132,Leena Ratti,3,9225.06,Occasional,Low
CUST-00204,Zansi Gala,1,9194.23,One-Time,Low
CUST-00031,Bhavya Oommen,1,8426.37,One-Time,Low
CUST-00175,Ubika Badami,3,8362.93,Occasional,Low
CUST-00469,Balendra Rajagopal,1,8119.7,One-Time,Low
CUST-00032,Ekanta Bhagat,1,7779.43,One-Time,Low
CUST-00207,Suhani Chowdhury,2,7715.67,Occasional,Low
CUST-00134,Oscar Yogi,1,7699.65,One-Time,Low
CUST-00238,Avni Suresh,2,7491.55,Occasional,Low
CUST-00274,Anirudh Warrior,3,7408.41,Occasional,Low
CUST-00433,Balveer Chahal,2,7366.79,Occasional,Low
CUST-00123,Panini Bath,2,7346.92,Occasional,Low
CUST-00455,Tanay Lata,2,7302.65,Occasional,Low
CUST-00268,Krishna Patla,1,7295.29,One-Time,Low
CUST-00265,Om Amble,2,7017.88,Occasional,Low
CUST-00288,Kevin Ratti,1,6991.68,One-Time,Low
CUST-00406,Gautami Dada,1,6983.6,One-Time,Low
CUST-00193,Anirudh Rege,1,6976.85,One-Time,Low
CUST-00034,Pratyush Sahota,2,6787.27,Occasional,Low
CUST-00446,Theodore Dara,3,6760.44,Occasional,Low
CUST-00343,Chanakya Chakraborty,2,6664.28,Occasional,Low
CUST-00266,Ekavir Bassi,1,6587.15,One-Time,Low
CUST-00371,Rayaan Golla,1,6548.7,One-Time,Low
CUST-00187,Arunima Sagar,1,6482.28,One-Time,Low
CUST-00416,Nicholas Chana,1,6481.71,One-Time,Low
CUST-00102,Vrishti Natarajan,2,6129.16,Occasional,Low
CUST-00453,Tara Manne,1,6119.78,One-Time,Low
CUST-00283,Vedant Bahri,2,6056.44,Occasional,Low
CUST-00331,Gaurang Pal,1,5968.05,One-Time,Low
CUST-00335,Gauri Deo,2,5722.67,Occasional,Low
CUST-00246,Kiaan Sharaf,1,5621.18,One-Time,Low
CUST-00316,Elijah Varghese,1,5584.79,One-Time,Low
CUST-00287,Henry Ramaswamy,1,5532.32,One-Time,Low
CUST-00001,Theodore Arya,1,5469.67,One-Time,Low
CUST-00330,Indrajit Bhatnagar,2,5448.46,Occasional,Low
CUST-00400,Faras Parmar,3,5446.92,Occasional,Low
CUST-00476,Aayush Borra,1,5411.44,One-Time,Low
CUST-00378,Fitan Khalsa,1,5337.64,One-Time,Low
CUST-00468,Zansi Brahmbhatt,1,5188.07,One-Time,Low
CUST-00035,Tamanna Sethi,1,4957.74,One-Time,Low
CUST-00068,Devansh Parsa,1,4564.56,One-Time,Low
CUST-00294,Madhavi Narayanan,1,4294.26,One-Time,Low
CUST-00355,Zayan Chaudry,2,4198.08,Occasional,Low
