customer_id,customer_name,email,phone,city,state,country,registration_date,customer_type,email_valid
CUST-00022,Raagini Bahri,hemal11@example.net,911130429312.0,Bilaspur,Uttarakhand,Brunei Darussalam,2022-01-20,PREMIUM,True
CUST-00023,Devika Sarin,gdhingra@example.net,8988757616.0,Patna,Uttar Pradesh,New Zealand,2025-02-27,VIP,True
CUST-00024,Harinakshi Khurana,bavaindira@example.org,65316493.0,Ludhiana,Bihar,Iceland,2024-02-11,VIP,True
CUST-00025,Bachittar Ben,lalchakradhar@example.net,9200562272.0,Saharsa,Maharashtra,Cape Verde,2018-07-16,PREMIUM,True
CUST-00026,Eiravati Vohra,farhanlall@example.com,1662765713.0,Burhanpur,Telangana,Argentina,2019-04-19,PREMIUM,True
CUST-00027,Ekta Arora,dipta56@example.com,6017058327.0,Bardhaman,Kerala,East Timor,2018-12-25,PREMIUM,True
CUST-00028,Tanvi Chander,imaran90@example.com,2810262824.0,Panipat,Arunachal Pradesh,Syria,2018-03-10,VIP,True
CUST-00029,Bhavna Sidhu,kalaupkaar@example.com,914701314588.0,Tinsukia,Meghalaya,Estonia,2023-04-16,REGULAR,True
CUST-00030,Champak Memon,csubramanian@example.com,2500492306.0,Chapra,Andhra Pradesh,El Salvador,2023-06-08,REGULAR,True
CUST-00031,Bhavya Oommen,usrinivas@example.net,915518786692.0,Raiganj,Manipur,Ecuador,2021-12-17,PREMIUM,True
CUST-00032,Ekanta Bhagat,balendra00@example.org,912876236205.0,Narasaraopet,Himachal Pradesh,Rwanda,2020-02-10,VIP,True
CUST-00033,Chatura Balay,obir@example.net,6894913997.0,Sangli-Miraj & Kupwad,Nagaland,Swaziland,2019-02-01,PREMIUM,True
CUST-00034,Pratyush Sahota,sehgalchanchal@example.com,910280792998.0,Satara,Himachal Pradesh,Mali,2024-07-20,REGULAR,True
CUST-00035,Tamanna Sethi,ghosetriya@example.org,7219893307.0,Bhilwara,Tripura,Cambodia,2019-04-23,PREMIUM,True
CUST-00036,Aayush Maharaj,bhavya72@example.org,7849054970.0,Panipat,Arunachal Pradesh,Libya,2019-12-30,REGULAR,True
CUST-00037,Chatresh Kohli,aashibadal@example.org,911604844061.0,Purnia,Tamil Nadu,Nigeria,2019-09-10,VIP,True
CUST-00038,Oliver Agate,liam14@example.net,9436355025.0,Morbi,Nagaland,Liberia,2019-07-13,REGULAR,True
CUST-00039,Bhavna Ramaswamy,abdulviswanathan@example.com,3783103413.0,Pudukkottai,Telangana,Argentina,2025-12-09,REGULAR,True
CUST-00040,Zayyan Krishna,banjeet12@example.org,914363397028.0,Udaipur,Haryana,Kiribati,2021-07-02,REGULAR,True
CUST-00041,Pallavi Dayal,zachariahbalvan@example.net,911071224703.0,Agartala,Manipur,Madagascar,2022-12-05,REGULAR,True
CUST-00042,Gaurangi Bhasin,madhavirege@example.org,916001585174.0,Sri Ganganagar,Haryana,Myanmar,2021-01-21,REGULAR,True
CUST-00043,Ishaan Ramachandran,rameshurmi@example.net,4992956635.0,Shimla,Gujarat,Spain,2021-12-21,REGULAR,True
CUST-00044,Yadavi Bahl,omkaaragate@example.net,4845079348.0,Thanjavur,Maharashtra,Peru,2021-02-11,VIP,True
CUST-00045,Abha Dhingra,vasudha46@example.net,4806348528.0,Bhavnagar,Tamil Nadu,Russia,2022-08-11,REGULAR,True
CUST-00046,Siya Desai,sekhonadya@example.org,1381115678.0,Bilaspur,West Bengal,Mozambique,2022-11-04,VIP,True
CUST-00047,Varsha Sastry,godamegha@example.org,2043196189.0,Agra,Meghalaya,Mozambique,2021-10-23,VIP,True
CUST-00048,Bhavna Srinivasan,devanhamsini@example.net,445150106.0,Tenali,Madhya Pradesh,Portugal,2021-11-17,PREMIUM,True
CUST-00049,Vedhika Randhawa,vedikadave@example.com,910578180280.0,Gopalpur,Telangana,Saint Vincent and the Grenadines,2022-07-11,PREMIUM,True
CUST-00050,Xalak Khosla,tbhatti@example.org,1472908735.0,Madhyamgram,Jharkhand,Oman,2022-03-02,REGULAR,True
CUST-00051,Sara Bose,invalid-email,917256101260.0,Gurgaon,Arunachal Pradesh,Bahamas,2021-12-24,VIP,False
CUST-00052,Chakrika Gour,qchopra@example.net,916378567709.0,Silchar,Karnataka,Sierra Leone,2025-06-26,VIP,True
CUST-00053,Teerth Narasimhan,amrita75@example.net,1158769852.0,Aizawl,Punjab,Saudi Arabia,2023-12-02,REGULAR,True
CUST-00054,Chandresh Kurian,ughose@example.com,911042589162.0,Farrukhabad,West Bengal,Jamaica,2023-08-10,PREMIUM,True
CUST-00055,Vyanjana Oommen,bcheema@example.org,4571355176.0,Anand,Uttarakhand,Mauritania,2022-05-17,PREMIUM,True
CUST-00056,Fiyaz Nagarajan,ishetty@example.org,916646758556.0,Panvel,Kerala,Peru,2021-09-08,REGULAR,True
CUST-00057,Yahvi Varkey,matthewtoor@example.org,9334525697.0,Bokaro,Arunachal Pradesh,Kiribati,2021-08-08,REGULAR,True
CUST-00058,Nicholas Brahmbhatt,deshpandemanan@example.net,5281593871.0,Bidar,Haryana,Zimbabwe,2023-08-03,PREMIUM,True
CUST-00059,Lipika Varty,wishi36@example.com,1574489325.0,Guna,Mizoram,Czech Republic,2022-12-22,VIP,True
CUST-00060,Tanvi Wason,behlati@example.org,919240112306.0,Suryapet,Chhattisgarh,Uruguay,2018-01-03,PREMIUM,True
CUST-00061,Veda Padmanabhan,nirja82@example.net,2862634018.0,Ahmednagar,Uttarakhand,United Kingdom,2022-06-20,REGULAR,True
CUST-00062,Unnati Natt,bainsishwar@example.net,6868975984.0,Bhilwara,Arunachal Pradesh,Mauritius,2025-01-17,PREMIUM,True
CUST-00063,Yatin Bumb,boraekantika@example.net,914507864086.0,Kolkata,Andhra Pradesh,Malaysia,2019-06-17,REGULAR,True
CUST-00064,Sai Lanka,jalsazacharia@example.com,912156189408.0,Malegaon,Manipur,Maldives,2023-09-07,VIP,True
CUST-00065,Ishita Bail,yagnesh27@example.net,5985103236.0,Machilipatnam,Haryana,Haiti,2018-11-07,REGULAR,True
CUST-00066,Noah Dora,vdoctor@example.net,912343494308.0,Sasaram,Assam,Fiji,2018-08-13,PREMIUM,True
CUST-00067,Abhiram Karpe,aachal93@example.com,910611280581.0,Shimla,Kerala,Chile,2021-05-18,REGULAR,True
CUST-00068,Devansh Parsa,yoshita04@example.com,914710836691.0,Dharmavaram,Goa,Barbados,2018-05-11,PREMIUM,True
CUST-00069,Mitali Reddy,eranganathan@example.net,444386949.0,Indore,Haryana,Panama,2020-11-03,PREMIUM,True
CUST-00070,Ekaraj Sathe,cbassi@example.org,912078356714.0,Katni,Uttarakhand,Cuba,2020-10-07,REGULAR,True
CUST-00071,Veer Sharaf,cswamy@example.org,3321139990.0,Bettiah,Maharashtra,Maldives,2020-07-23,REGULAR,True
CUST-00072,Bimala Bains,nigamtristan@example.org,911154647346.0,Noida,Gujarat,Germany,2024-12-09,REGULAR,True
CUST-00073,Wriddhish Guha,luke99@example.org,910955746889.0,Ghaziabad,Nagaland,Vanuatu,2025-02-12,VIP,True
CUST-00074,Tanvi Peri,ypall@example.org,2078465139.0,Saharsa,Andhra Pradesh,Thailand,2024-07-08,REGULAR,True
CUST-00075,Advik Konda,jdewan@example.org,3411849805.0,Amritsar,Maharashtra,Haiti,2025-08-20,REGULAR,True
CUST-00076,Libni Pingle,haritananda@example.net,916618050839.0,Mira-Bhayandar,Tripura,Tajikistan,2024-11-20,REGULAR,True
CUST-00077,Jasmit Reddy,ekta60@example.net,3053066666.0,Dehradun,West Bengal,Tunisia,2025-06-17,REGULAR,True
CUST-00078,Hiral Contractor,idoctor@example.net,5781300713.0,Jalandhar,Rajasthan,Uzbekistan,2022-05-12,VIP,True
CUST-00079,Triya Salvi,anmoloak@example.org,1385152920.0,Rewa,Sikkim,Samoa,2020-04-29,PREMIUM,True
CUST-00080,Dominic Sankaran,osabharwal@example.org,5738301694.0,Bhilwara,Mizoram,Burkina Faso,2025-11-24,REGULAR,True
CUST-00081,Balvan Hegde,akala@example.org,912824930036.0,Bhatpara,Meghalaya,Israel,2022-03-07,VIP,True
CUST-00082,Ubika Nagar,yadavjanuja@example.net,4948597899.0,Hapur,Jharkhand,Benin,2022-05-20,VIP,True
CUST-00083,Atharv Tailor,vbhandari@example.org,915859138973.0,Bettiah,Nagaland,Mexico,2019-09-23,VIP,True
CUST-00084,Dominic Dutt,frandhawa@example.org,911353324201.0,Solapur,Arunachal Pradesh,Philippines,2024-11-11,PREMIUM,True
CUST-00085,Divya Chhabra,chackoishita@example.net,3442731418.0,Aurangabad,Kerala,Italy,2022-09-15,VIP,True
CUST-00086,Hiral Divan,zansi96@example.net,8450585282.0,Tadepalligudem,Meghalaya,Seychelles,2024-12-07,PREMIUM,True
CUST-00087,Anusha Shukla,daksha63@example.com,919745591292.0,Ahmednagar,Telangana,Dominica,2018-03-04,VIP,True
CUST-00088,Ekantika Chacko,kannanmitali@example.org,916141376314.0,Dhule,Assam,Niger,2024-05-21,REGULAR,True
CUST-00089,Zarna Mitra,eta82@example.com,7543432317.0,Burhanpur,Uttar Pradesh,Palestine,2019-02-24,REGULAR,True
CUST-00090,Gaurang Sagar,kashishde@example.net,910272806376.0,Chittoor,Chhattisgarh,Andorra,2019-07-28,REGULAR,True
CUST-00091,Niharika Bhardwaj,basuanthony@example.org,4644577740.0,Rourkela,Chhattisgarh,Lesotho,2019-10-09,VIP,True
CUST-00092,Falak Gopal,ishanidin@example.org,2204650981.0,Tezpur,Gujarat,Burkina Faso,2021-09-28,REGULAR,True
CUST-00093,Mason Sarraf,ktaneja@example.com,917254329282.0,Patiala,Jharkhand,Equatorial Guinea,2021-08-30,REGULAR,True
CUST-00094,Saanvi Vig,upmakade@example.org,8877094867.0,Khammam,Assam,Sudan,2024-06-01,VIP,True
CUST-00095,Bhavini Kalla,asetty@example.org,5285121721.0,Bhagalpur,Goa,Uzbekistan,2023-08-16,PREMIUM,True
CUST-00096,Sneha Pingle,ekarajshanker@example.net,3656250479.0,Belgaum,West Bengal,Nepal,2022-02-26,REGULAR,True
CUST-00097,Ansh Parmer,palanfrado@example.net,918573749895.0,Indore,Maharashtra,Kazakhstan,2020-05-11,REGULAR,True
CUST-00098,Wyatt Dubey,victor51@example.net,2140967331.0,Kalyan-Dombivli,Jharkhand,Myanmar,2024-01-20,VIP,True
CUST-00099,Liam Joshi,aggarwalzansi@example.net,6971942657.0,Gwalior,Himachal Pradesh,Jamaica,2019-02-08,PREMIUM,True
CUST-00100,Triveni Varma,raghavansuhani@example.net,7062285680.0,Asansol,West Bengal,Kingdom of the Netherlands,2020-02-07,VIP,True
CUST-00101,Triveni Varma,raghavansuhani@example.net,7062285680.0,Asansol,West Bengal,Paraguay,2018-02-19,VIP,True
CUST-00102,Vrishti Natarajan,sibalmichael@example.org,4189195709.0,Phusro,Himachal Pradesh,Slovakia,2022-11-06,REGULAR,True
CUST-00103,Nachiket Balan,oni02@example.com,8553786294.0,Nagercoil,Bihar,Moldova,2020-05-31,PREMIUM,True
CUST-00104,Jacob Sastry,rajandamyanti@example.net,4583648360.0,Agra,Chhattisgarh,Slovakia,2025-02-13,REGULAR,True
CUST-00105,Shravya Palan,nidrapau@example.net,911273105836.0,Bongaigaon,Mizoram,San Marino,2020-07-05,PREMIUM,True
CUST-00106,Rajata Balakrishnan,bsahni@example.net,918584831048.0,Khandwa,Andhra Pradesh,Vietnam,2018-06-19,REGULAR,True
CUST-00107,Ronith Nair,warinderjohal@example.org,2336622841.0,Danapur,Maharashtra,Bulgaria,2022-02-17,VIP,True
CUST-00108,Avni Nayak,menonlucky@example.net,5071789405.0,Mysore,Arunachal Pradesh,Mauritius,2023-08-14,PREMIUM,True
CUST-00109,Yagnesh Nigam,ychandra@example.net,3953203194.0,Gandhidham,Punjab,Uganda,2021-03-29,REGULAR,True
CUST-00110,Ronith Varma,faqidratta@example.com,4168860673.0,Khammam,Assam,Burundi,2025-01-25,PREMIUM,True
CUST-00111,Raagini Upadhyay,paibhavna@example.net,911938472315.0,Gudivada,Uttarakhand,Taiwan,2018-05-17,VIP,True
CUST-00112,Logan Manne,geetika27@example.com,918498640508.0,Guwahati,Goa,Kazakhstan,2022-04-17,PREMIUM,True
CUST-00113,Ati Sundaram,sachdevveda@example.org,912820204902.0,Kavali,Haryana,Sudan,2023-04-29,REGULAR,True
CUST-00114,Matthew Bhakta,guptachaitanya@example.com,912819452020.0,Etawah,Mizoram,Pakistan,2022-08-24,REGULAR,True
CUST-00115,Barkha Ahuja,chanamatthew@example.com,6241676183.0,Srikakulam,West Bengal,Sri Lanka,2024-10-23,PREMIUM,True
CUST-00116,Pavani Swaminathan,gauravbabu@example.org,2145638868.0,Vadodara,Telangana,Algeria,2020-08-04,PREMIUM,True
CUST-00117,Jack Chandran,wadhwameghana@example.net,3345752478.0,Sagar,Bihar,Algeria,2018-09-13,PREMIUM,True
CUST-00118,Lila Mishra,agastya67@example.com,916004647742.0,Imphal,Uttarakhand,Azerbaijan,2025-08-16,VIP,True
CUST-00119,Ekaraj Contractor,aryabarkha@example.net,2009181225.0,Giridih,Punjab,Sierra Leone,2021-05-09,VIP,True
CUST-00120,Sara Brar,dhillonpushti@example.net,915367836115.0,Tiruvottiyur,Uttar Pradesh,Jamaica,2021-03-18,PREMIUM,True
CUST-00121,Yash Dhaliwal,invalid-email-0@,9786343921.0,Mira-Bhayandar,Rajasthan,Republic of Ireland,2020-08-07,REGULAR,False
CUST-00122,Nathan Swamy,hemangini37@example.net,8103036024.0,Darbhanga,Jharkhand,Solomon Islands,2019-02-18,PREMIUM,True
CUST-00123,Panini Bath,qasim30@example.com,7243814979.0,Vasai-Virar,Bihar,Iraq,2025-08-06,REGULAR,True
CUST-00124,Reva Dugar,champaksrivastava@example.org,3841808329.0,Raiganj,Tripura,Nauru,2019-05-18,VIP,True
CUST-00125,Rachita Gola,kalitaoviya@example.com,915750009031.0,Jabalpur,Kerala,Uruguay,2022-11-09,PREMIUM,True
CUST-00126,Isha Sastry,hsahota@example.net,9901946333.0,Singrauli,Jharkhand,Egypt,2019-08-29,REGULAR,True
CUST-00127,Aadhya Hora,acharyabaghyawati@example.org,3137455357.0,Shimla,West Bengal,Tuvalu,2021-07-11,VIP,True
CUST-00128,Jairaj Pandey,sudikshapant@example.org,7070158110.0,Sultan Pur Majra,Himachal Pradesh,Venezuela,2021-12-18,VIP,True
CUST-00129,Vanya Thaman,leenamandal@example.org,827191995.0,Guna,Goa,Burundi,2018-10-25,REGULAR,True
CUST-00130,Hritik Dugar,abhiram20@example.net,912100288790.0,Munger,Assam,East Timor,2019-02-19,PREMIUM,True
CUST-00131,Laban Wadhwa,chakradev60@example.com,917822632524.0,Bhilai,Manipur,Marshall Islands,2024-02-03,REGULAR,True
CUST-00132,Leena Ratti,saranqasim@example.org,6077494677.0,Guntakal,Mizoram,Lebanon,2025-07-07,REGULAR,True
CUST-00133,Vanya Ramachandran,tejas34@example.com,4759684471.0,Bidar,Punjab,Tuvalu,2018-12-15,VIP,True
CUST-00134,Oscar Yogi,eshanarana@example.org,914113500085.0,Orai,Manipur,Senegal,2020-04-22,PREMIUM,True
CUST-00135,Neelima Andra,chasmumedwin@example.com,911220917410.0,Berhampur,Odisha,C̫te d'Ivoire,2021-03-26,VIP,True
CUST-00136,Omkaar More,nayarchatresh@example.org,5431431853.0,Rajpur Sonarpur,Jharkhand,Kiribati,2023-10-24,PREMIUM,True
CUST-00137,Chaitanya Narayan,btandon@example.com,8117899430.0,Tirupati,Tamil Nadu,Portugal,2022-03-06,VIP,True
CUST-00138,Sai Dugal,omajabadal@example.com,9899265655.0,Maheshtala,Mizoram,Kyrgyzstan,2024-02-03,VIP,True
CUST-00139,Maya Chauhan,ronith48@example.org,1192113882.0,Mau,Andhra Pradesh,Jamaica,2019-08-05,PREMIUM,True
CUST-00140,Aayush Sodhi,lkaran@example.org,3417681225.0,Machilipatnam,Jharkhand,Nepal,2018-10-28,VIP,True
CUST-00141,Warda Prakash,qarin38@example.org,918263184557.0,Siwan,Gujarat,India,2018-01-16,PREMIUM,True
CUST-00142,Sai Vala,barkhamaster@example.com,5667395170.0,Bhusawal,Jharkhand,Tanzania,2023-01-31,VIP,True
CUST-00143,Dalbir Hegde,bgoyal@example.org,688005369.0,Panvel,Uttarakhand,El Salvador,2022-06-04,PREMIUM,True
CUST-00144,Ekaja Venkatesh,rattavihaan@example.net,911337470946.0,Malegaon,Tamil Nadu,Iran,2024-01-02,PREMIUM,True
CUST-00145,Kalpit Mitra,parth62@example.net,919929023025.0,Miryalaguda,Uttarakhand,Madagascar,2022-02-18,VIP,True
CUST-00146,Reva Prabhu,morexiti@example.com,7994817411.0,Machilipatnam,Kerala,Antigua and Barbuda,2021-06-02,VIP,True
CUST-00147,Tripti Dayal,batraaarini@example.net,917332139284.0,Anantapuram,Himachal Pradesh,Norway,2018-08-23,PREMIUM,True
CUST-00148,Vivaan Mital,pushti10@example.net,3481360711.0,Raipur,Himachal Pradesh,Australia,2023-06-21,VIP,True
CUST-00149,Yashawini Swaminathan,zahuja@example.com,3118433964.0,Bhavnagar,Meghalaya,Slovakia,2023-02-27,REGULAR,True
CUST-00150,Megha Chaudhary,vermanilima@example.org,8996870738.0,Shahjahanpur,Karnataka,Algeria,2021-04-25,REGULAR,True
CUST-00151,Saumya Sharma,invalid-email,Not Available,Tumkur,Andhra Pradesh,Germany,2021-02-27,VIP,False
CUST-00152,Abhimanyu Reddy,acharyaurvi@example.com,910733914146.0,Chennai,Assam,Croatia,2022-08-08,PREMIUM,True
CUST-00153,Ekalinga Bala,bathojas@example.com,9201197203.0,Gandhidham,Andhra Pradesh,Togo,2024-04-07,PREMIUM,True
CUST-00154,Shaurya Raja,gaurika83@example.net,5954072278.0,Haridwar,Jharkhand,Liberia,2021-10-04,REGULAR,True
CUST-00155,Balendra Roy,ybir@example.net,910112882375.0,Gopalpur,Telangana,France,2021-04-30,VIP,True
CUST-00156,Indira Ben,reddyriya@example.org,5637858235.0,Vasai-Virar,Rajasthan,Slovakia,2025-04-22,VIP,True
CUST-00157,Irya Narayan,hemade@example.com,5776126479.0,Rewa,Tamil Nadu,Fiji,2021-11-21,VIP,True
CUST-00158,Orinder Purohit,iganesan@example.com,3806012170.0,Raipur,Kerala,Andorra,2020-01-18,VIP,True
CUST-00159,Rishi Bains,krishna74@example.com,8499252212.0,Aurangabad,Haryana,Thailand,2024-07-03,PREMIUM,True
CUST-00160,Owen Upadhyay,chatura69@example.org,918749259740.0,Hazaribagh,Uttarakhand,Kingdom of the Netherlands,2025-05-18,VIP,True
CUST-00161,Varsha Setty,yhans@example.org,524799564.0,Gandhinagar,Manipur,Italy,2025-02-08,VIP,True
CUST-00162,Garima Bhagat,parmartripti@example.net,913605471800.0,Eluru,Haryana,Tunisia,2021-08-23,VIP,True
CUST-00163,Oni Gola,suridalaja@example.org,7355969218.0,Pondicherry,Bihar,India,2025-07-05,VIP,True
CUST-00164,Ekansh Narayan,iryachowdhury@example.org,911283342850.0,Tinsukia,Maharashtra,Central African Republic,2019-09-17,REGULAR,True
CUST-00165,Praneel Shroff,wridesh47@example.com,6480257503.0,Eluru,Sikkim,Mauritania,2022-11-09,REGULAR,True
CUST-00166,Anmol Sarkar,grewalindali@example.com,918680393631.0,Miryalaguda,Mizoram,Panama,2020-06-06,REGULAR,True
CUST-00167,Yahvi Suri,tgoda@example.com,916644422601.0,Udaipur,Uttarakhand,Malawi,2018-02-17,REGULAR,True
CUST-00168,Aarav Bose,omajavohra@example.org,8682215509.0,Jodhpur,Kerala,Tonga,2019-08-19,VIP,True
CUST-00169,Atharv Baria,lhayre@example.org,917398185178.0,Bhiwandi,Karnataka,Romania,2023-03-20,REGULAR,True
CUST-00170,Tanay Tripathi,samramitesh@example.org,9551293889.0,Jaipur,Arunachal Pradesh,Malawi,2023-10-24,REGULAR,True
CUST-00171,Raagini Borah,zaid93@example.net,9796621589.0,Faridabad,Haryana,Mauritius,2020-05-08,PREMIUM,True
CUST-00172,Lakshmi Wason,mchandra@example.com,910495462682.0,Dehradun,Manipur,Cape Verde,2018-11-14,VIP,True
CUST-00173,Kabir Krishna,bassiupasna@example.com,4015497209.0,Pali,Kerala,India,2019-05-16,REGULAR,True
CUST-00174,Harita Sandal,vcontractor@example.com,912296766585.0,Delhi,Madhya Pradesh,Peru,2020-11-18,PREMIUM,True
CUST-00175,Ubika Badami,ebuch@example.org,621474530.0,Shivpuri,Kerala,Saudi Arabia,2025-12-18,REGULAR,True
CUST-00176,Teerth Hari,harini05@example.com,917274224306.0,Amaravati,Mizoram,Namibia,2024-11-01,VIP,True
CUST-00177,Aadi Nigam,amara49@example.org,6265887803.0,Mysore,Kerala,Mauritania,2023-09-15,VIP,True
CUST-00178,Aadi Bhat,sabharwalgautam@example.org,184537792.0,Bikaner,Sikkim,Syria,2024-06-30,PREMIUM,True
CUST-00179,Shaurya Sur,jparikh@example.com,82429333.0,Tiruppur,Kerala,Italy,2023-09-02,VIP,True
CUST-00180,Ekaraj Tripathi,chaudhurizinal@example.com,918866706484.0,Serampore,Mizoram,Libya,2020-01-28,PREMIUM,True
CUST-00181,Aradhana Bala,bhatiaamaira@example.com,8275576719.0,Sonipat,Arunachal Pradesh,Qatar,2025-05-03,REGULAR,True
CUST-00182,Jeevika Mander,indrajit69@example.com,918590187026.0,Giridih,Telangana,Liberia,2022-01-06,PREMIUM,True
CUST-00183,Timothy Nigam,esastry@example.org,5110567372.0,Nanded,Sikkim,Chad,2018-05-08,VIP,True
CUST-00184,Gaurangi Rau,praneelbuch@example.com,916734690510.0,Orai,Arunachal Pradesh,Croatia,2020-10-07,PREMIUM,True
CUST-00185,Jeet Deo,manifarhan@example.net,912803180840.0,Bhimavaram,Tamil Nadu,Fiji,2024-07-12,PREMIUM,True
CUST-00186,Ansh Deo,gaurikanatarajan@example.net,5208746533.0,Phusro,Madhya Pradesh,Russia,2022-09-17,PREMIUM,True
CUST-00187,Arunima Sagar,williamkrishnan@example.com,4800678723.0,Thiruvananthapuram,Karnataka,Niger,2018-04-01,VIP,True
CUST-00188,Kai Karan,sacharagastya@example.org,3787247044.0,Surendranagar Dudhrej,Andhra Pradesh,Uzbekistan,2018-08-01,PREMIUM,True
CUST-00189,Ishita Dhaliwal,pushti30@example.org,9194060559.0,Bijapur,Tamil Nadu,Thailand,2022-12-18,REGULAR,True
CUST-00190,Henry Lad,ghoseeesha@example.org,5043586823.0,Jaipur,Madhya Pradesh,Jamaica,2024-09-17,PREMIUM,True
CUST-00191,Falguni Lall,ukrish@example.com,915102216726.0,Sambalpur,Uttarakhand,Vietnam,2020-07-15,REGULAR,True
CUST-00192,Zashil Patil,bariadayita@example.org,7558429674.0,Raichur,Andhra Pradesh,Palestine,2024-12-04,PREMIUM,True
CUST-00193,Anirudh Rege,urvashimittal@example.net,763869798.0,Darbhanga,Maharashtra,Argentina,2023-08-09,PREMIUM,True
CUST-00194,Chakradev Samra,wahab29@example.com,918855848163.0,Nagercoil,Kerala,Trinidad and Tobago,2025-04-02,VIP,True
CUST-00195,Gaurav Narasimhan,ubali@example.com,918383641692.0,Sambhal,Tripura,Laos,2021-04-02,REGULAR,True
CUST-00196,Krishna Sibal,chakrabartiwarda@example.org,3453301451.0,Gorakhpur,West Bengal,North Macedonia,2023-10-11,PREMIUM,True
CUST-00197,Manthan Balan,ganga22@example.com,8680765295.0,Firozabad,Maharashtra,Nepal,2025-04-13,VIP,True
CUST-00198,Bahadurjit Pandya,bhargavajanya@example.org,444519458.0,Katni,Andhra Pradesh,Argentina,2022-06-23,REGULAR,True
CUST-00199,Aarnav Sastry,goyalmanthan@example.org,910948087.0,Gopalpur,Telangana,Iceland,2021-04-07,REGULAR,True
CUST-00200,Chaman De,advaithbutala@example.net,2345469001.0,Durg,Karnataka,Czech Republic,2024-07-18,PREMIUM,True
CUST-00201,Chaman De,advaithbutala@example.net,2345469001.0,Durg,Karnataka,Federated States of Micronesia,2019-04-24,REGULAR,True
CUST-00202,Abdul Murty,lipikaom@example.net,2918764880.0,Anantapuram,Nagaland,Slovakia,2020-01-09,PREMIUM,True
CUST-00203,Saanvi Bajwa,faras32@example.net,6541071664.0,Tinsukia,Meghalaya,Vatican City,2024-07-22,PREMIUM,True
CUST-00204,Zansi Gala,amarabhavsar@example.net,217272132.0,Gudivada,Andhra Pradesh,Zambia,2018-06-04,VIP,True
CUST-00205,Siddharth Varkey,kalitadayamai@example.org,757111751.0,Aizawl,Andhra Pradesh,Japan,2019-04-14,PREMIUM,True
CUST-00206,Gaurika Dhar,baljiwandalal@example.org,911750373906.0,Sambalpur,Goa,Guinea,2020-04-05,REGULAR,True
CUST-00207,Suhani Chowdhury,jkrishnamurthy@example.org,910501958690.0,Motihari,Manipur,Gabon,2019-09-21,VIP,True
CUST-00208,Hritik Dasgupta,rohanradhakrishnan@example.net,1479312436.0,Thane,Jharkhand,Georgia,2024-08-19,REGULAR,True
