customer_id,customer_name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score
CUST-00105,Shravya Palan,135.0,4,55685.24,3,5,5,13
CUST-00390,Parth Pandit,0.0,3,55426.17,4,4,5,13
CUST-00016,Lucky Deo,0.0,3,55141.95,4,4,5,13
CUST-00329,Jagat Srinivas,13.0,4,54900.24,3,5,5,13
CUST-00177,Aadi Nigam,119.0,5,54021.33,3,5,5,13
CUST-00162,Garima Bhagat,0.0,5,54005.84,3,5,5,13
CUST-00300,Aryan Vohra,0.0,3,53315.35,4,4,5,13
CUST-00239,Mason Ramakrishnan,134.0,4,53161.4,3,5,5,13
CUST-00040,Zayyan Krishna,0.0,3,52882.09,4,4,5,13
CUST-00233,Karan Mandal,0.0,8,52315.68,3,5,5,13
CUST-00189,Ishita Dhaliwal,0.0,5,51046.28,3,5,5,13
CUST-00417,Megha Barad,51.0,4,48338.96,3,5,5,13
CUST-00081,Balvan Hegde,180.0,4,47463.49,3,5,5,13
CUST-00454,Ria Shanker,0.0,7,46413.4,3,5,5,13
CUST-00028,Tanvi Chander,168.0,4,46079.88,3,5,5,13
CUST-00045,Abha Dhingra,244.0,6,75798.2,2,5,5,12
CUST-00211,Devansh Das,255.0,4,66935.11,2,5,5,12
CUST-00408,Hamsini Joshi,212.0,5,66884.12,2,5,5,12
CUST-00219,Chasmum Khanna,536.0,7,66869.8,2,5,5,12
CUST-00414,George Chaudhry,237.0,5,65578.08,2,5,5,12
CUST-00342,Lucky Menon,319.0,4,63406.93,2,5,5,12
CUST-00118,Lila Mishra,47.0,3,61116.66,3,4,5,12
CUST-00333,Lekha Aggarwal,210.0,6,59252.98,2,5,5,12
CUST-00348,Waida Bahri,510.0,6,58237.61,2,5,5,12
CUST-00267,Yochana Ahluwalia,401.0,4,57788.25,2,5,5,12
CUST-00492,Indrajit Setty,343.0,5,56381.99,2,5,5,12
CUST-00419,Abhiram Apte,388.0,5,53162.1,2,5,5,12
CUST-00409,Krishna Dara,273.0,4,51187.38,2,5,5,12
CUST-00188,Kai Karan,239.0,5,50780.91,2,5,5,12
CUST-00289,Aadhya Sridhar,272.0,4,49852.89,2,5,5,12
CUST-00323,Wazir Lal,156.0,3,49523.11,3,4,5,12
CUST-00436,Inaya Barad,546.0,4,49466.2,2,5,5,12
CUST-00443,Champak Ganesan,348.0,5,48153.5,2,5,5,12
CUST-00152,Abhimanyu Reddy,377.0,4,47467.14,2,5,5,12
CUST-00181,Aradhana Bala,624.0,6,45702.64,2,5,5,12
CUST-00093,Mason Sarraf,0.0,6,45644.51,3,5,4,12
CUST-00070,Ekaraj Sathe,0.0,3,44736.51,4,4,4,12
CUST-00449,Bakhshi Khanna,0.0,3,43934.25,4,4,4,12
CUST-00312,Vedhika Som,0.0,3,41206.05,4,4,4,12
CUST-00111,Raagini Upadhyay,0.0,3,40829.59,4,4,4,12
CUST-00244,Ridhi Mistry,0.0,4,40450.41,4,4,4,12
CUST-00465,Henry Som,0.0,3,40397.88,4,4,4,12
CUST-00344,Gaurika Bhatia,0.0,5,40146.11,3,5,4,12
CUST-00242,Geetika Keer,0.0,4,39988.52,4,4,4,12
CUST-00352,Chanakya Rastogi,0.0,4,39968.92,4,4,4,12
CUST-00025,Bachittar Ben,0.0,4,38530.87,4,4,4,12
CUST-00381,Azaan Sehgal,0.0,5,36848.27,3,5,4,12
CUST-00358,Raghav Kumar,0.0,4,36544.41,4,4,4,12
CUST-00282,Yatin Chandra,0.0,4,34739.92,4,4,4,12
CUST-00153,Ekalinga Bala,0.0,4,34303.56,4,4,4,12
CUST-00411,Faras Bhalla,0.0,5,34290.63,3,5,4,12
CUST-00214,Yachana Aggarwal,0.0,4,33655.32,4,4,4,12
CUST-00067,Abhiram Karpe,0.0,4,33613.22,4,4,4,12
CUST-00169,Atharv Baria,0.0,4,31316.77,4,4,4,12
CUST-00482,Gauri Parmer,126.0,5,30524.62,3,5,4,12
CUST-00459,Damyanti Som,177.0,5,30404.43,3,5,4,12
CUST-00112,Logan Manne,0.0,5,29940.85,4,5,3,12
CUST-00467,Bimala Issac,0.0,5,26443.91,4,5,3,12
CUST-00280,Varenya Sabharwal,676.0,6,100300.41,1,5,5,11
CUST-00120,Sara Brar,305.0,3,62468.04,2,4,5,11
CUST-00279,Om Handa,344.0,3,58771.99,2,4,5,11
CUST-00166,Anmol Sarkar,202.0,3,57266.72,2,4,5,11
CUST-00278,Ekaja Chaudhary,255.0,3,56895.47,2,4,5,11
CUST-00353,Wishi Mangal,350.0,3,52495.62,2,4,5,11
CUST-00100,Triveni Varma,667.0,5,51474.55,1,5,5,11
CUST-00184,Gaurangi Rau,849.0,4,51380.26,1,5,5,11
CUST-00128,Jairaj Pandey,514.0,3,51108.91,2,4,5,11
CUST-00135,Neelima Andra,636.0,5,49288.69,1,5,5,11
CUST-00182,Jeevika Mander,1161.0,4,47343.68,1,5,5,11
CUST-00064,Sai Lanka,343.0,3,47243.77,2,4,5,11
CUST-00299,Warinder Suresh,1047.0,4,46409.19,1,5,5,11
CUST-00255,Rushil Nagi,59.0,3,45514.79,3,4,4,11
CUST-00048,Bhavna Srinivasan,140.0,4,42994.1,3,4,4,11
CUST-00046,Siya Desai,90.0,3,41783.0,3,4,4,11
CUST-00217,Manthan Shere,170.0,4,41326.91,3,4,4,11
CUST-00395,Darika Zacharia,69.0,3,41288.68,3,4,4,11
CUST-00452,Sara Vasa,189.0,3,40883.56,3,4,4,11
CUST-00494,Shravya Patil,380.0,6,40007.11,2,5,4,11
CUST-00500,Tarak Pall,109.0,4,38777.29,3,4,4,11
CUST-00033,Chatura Balay,0.0,3,38154.6,4,3,4,11
CUST-00247,Ayaan Dave,535.0,5,36799.88,2,5,4,11
CUST-00428,Harrison Kashyap,0.0,3,34629.91,4,3,4,11
CUST-00306,Watika Sodhi,0.0,3,34610.32,4,3,4,11
CUST-00307,Megha Balan,0.0,3,34592.59,4,3,4,11
CUST-00258,Tanay Bansal,0.0,3,33869.09,4,3,4,11
CUST-00373,Christopher Chad,281.0,5,32052.47,2,5,4,11
CUST-00213,Ikbal Bedi,524.0,5,31666.38,2,5,4,11
CUST-00138,Sai Dugal,0.0,3,31559.47,4,3,4,11
CUST-00165,Praneel Shroff,86.0,4,30777.12,3,4,4,11
CUST-00190,Henry Lad,0.0,3,30612.8,4,3,4,11
CUST-00296,Warinder Shroff,0.0,4,28356.91,4,4,3,11
CUST-00362,Lucky Gokhale,0.0,4,28293.26,4,4,3,11
CUST-00375,Sarthak Ravi,0.0,4,26273.38,4,4,3,11
CUST-00071,Veer Sharaf,0.0,4,25114.67,4,4,3,11
CUST-00399,Rachana Pal,0.0,4,25027.87,4,4,3,11
CUST-00392,Orinder Panchal,0.0,4,24134.0,4,4,3,11
CUST-00061,Veda Padmanabhan,0.0,4,23192.81,4,4,3,11
CUST-00203,Saanvi Bajwa,62.0,5,23171.91,3,5,3,11
CUST-00099,Liam Joshi,0.0,5,21901.25,4,5,2,11
CUST-00297,Guneet Som,0.0,5,19568.23,4,5,2,11
CUST-00054,Chandresh Kurian,633.0,3,63661.65,1,4,5,10
CUST-00194,Chakradev Samra,920.0,3,61190.44,1,4,5,10
CUST-00272,Mitali Srinivasan,1159.0,3,58649.16,1,4,5,10
CUST-00325,Ati Madan,1222.0,3,49105.74,1,4,5,10
CUST-00326,Jagat Pandey,797.0,3,48689.13,1,4,5,10
CUST-00159,Rishi Bains,871.0,3,47878.14,1,4,5,10
CUST-00489,Wazir Saha,971.0,3,46436.54,1,4,5,10
CUST-00479,Ridhi Sibal,231.0,4,44794.89,2,4,4,10
CUST-00095,Bhavini Kalla,187.0,2,44202.2,3,3,4,10
CUST-00044,Yadavi Bahl,142.0,2,44012.65,3,3,4,10
CUST-00444,Jackson Batta,201.0,3,43516.79,2,4,4,10
CUST-00439,Pahal Trivedi,645.0,5,42723.88,1,5,4,10
CUST-00209,Umang Shetty,352.0,3,41902.69,2,4,4,10
CUST-00063,Yatin Bumb,381.0,4,41531.31,2,4,4,10
CUST-00298,Baljiwan Chaudhuri,609.0,3,41063.35,2,4,4,10
CUST-00069,Mitali Reddy,494.0,4,40896.55,2,4,4,10
CUST-00277,Dhruv Bose,24.0,2,40285.79,3,3,4,10
CUST-00084,Dominic Dutt,375.0,4,39595.89,2,4,4,10
CUST-00221,Chanchal Bhat,92.0,3,38814.49,3,3,4,10
CUST-00398,Ucchal Kamdar,702.0,5,38148.51,1,5,4,10
CUST-00225,Mohini Apte,15.0,2,37414.32,3,3,4,10
CUST-00038,Oliver Agate,285.0,4,35948.89,2,4,4,10
CUST-00313,Ojas Seth,55.0,3,35429.15,3,3,4,10
CUST-00195,Gaurav Narasimhan,77.0,3,34771.65,3,3,4,10
CUST-00186,Ansh Deo,0.0,2,34229.5,4,2,4,10
CUST-00374,Mugdha Gaba,151.0,3,33547.6,3,3,4,10
CUST-00234,Neha Purohit,980.0,5,31366.25,1,5,4,10
CUST-00036,Aayush Maharaj,74.0,3,31078.11,3,3,4,10
CUST-00116,Pavani Swaminathan,149.0,4,30056.39,3,4,3,10
CUST-00340,Charvi Srinivasan,53.0,4,28648.78,3,4,3,10
CUST-00245,Rohan Krishnamurthy,181.0,4,27495.09,3,4,3,10
CUST-00291,Gautami Sodhi,0.0,3,26386.14,4,3,3,10
CUST-00336,Ishani Deshmukh,38.0,4,25595.54,3,4,3,10
CUST-00157,Irya Narayan,0.0,3,25112.93,4,3,3,10
CUST-00349,Upma Amble,0.0,3,24744.89,4,3,3,10
CUST-00382,Gavin Sanghvi,0.0,3,24150.48,4,3,3,10
CUST-00216,Logan Murty,171.0,4,23948.15,3,4,3,10
CUST-00389,Qasim Sha,0.0,3,23689.01,4,3,3,10
CUST-00421,Omkaar Khare,0.0,4,20435.02,4,4,2,10
CUST-00173,Kabir Krishna,0.0,4,20289.01,4,4,2,10
CUST-00292,Gunbir Mukhopadhyay,0.0,4,19464.88,4,4,2,10
CUST-00039,Bhavna Ramaswamy,0.0,4,18320.27,4,4,2,10
CUST-00110,Ronith Varma,0.0,4,17023.77,4,4,2,10
CUST-00240,Urvashi Anand,0.0,4,14331.86,4,4,2,10
CUST-00314,Kabir Bahri,0.0,5,9332.7,4,5,1,10
CUST-00413,Vasatika Gara,636.0,3,45325.38,1,4,4,9
CUST-00060,Tanvi Wason,854.0,3,44804.06,1,4,4,9
CUST-00017,Leena Sampath,664.0,4,43850.02,1,4,4,9
CUST-00129,Vanya Thaman,792.0,3,42263.44,1,4,4,9
CUST-00426,Chaitanya Singhal,781.0,3,40962.75,1,4,4,9
CUST-00174,Harita Sandal,1264.0,3,40940.91,1,4,4,9
CUST-00077,Jasmit Reddy,314.0,2,40552.42,2,3,4,9
CUST-00005,Harrison Chada,265.0,3,40197.61,2,3,4,9
CUST-00206,Gaurika Dhar,812.0,4,39671.69,1,4,4,9
CUST-00145,Kalpit Mitra,598.0,2,39648.56,2,3,4,9
CUST-00370,Daniel Ravel,347.0,2,38825.99,2,3,4,9
CUST-00385,Eesha Kibe,223.0,3,36583.34,2,3,4,9
CUST-00432,Nimrat Krishna,656.0,4,36174.31,1,4,4,9
CUST-00270,Brinda Lad,364.0,3,34242.71,2,3,4,9
CUST-00052,Chakrika Gour,812.0,4,33988.02,1,4,4,9
CUST-00163,Oni Gola,884.0,4,33959.42,1,4,4,9
CUST-00004,Om Samra,626.0,4,33312.14,1,4,4,9
CUST-00091,Niharika Bhardwaj,929.0,4,31617.2,1,4,4,9
CUST-00365,Ayush Zacharia,478.0,3,30905.22,2,3,4,9
CUST-00259,Oeshi Wali,0.0,1,28042.94,4,2,3,9
CUST-00328,Chakradev Madan,0.0,2,27850.28,4,2,3,9
CUST-00497,Harish Nazareth,479.0,4,26911.3,2,4,3,9
CUST-00150,Megha Chaudhary,167.0,3,26807.51,3,3,3,9
CUST-00041,Pallavi Dayal,278.0,4,26682.24,2,4,3,9
CUST-00372,Gautami Boase,324.0,4,26612.64,2,4,3,9
CUST-00229,Fitan Sarkar,361.0,4,25791.46,2,4,3,9
CUST-00249,Zashil Desai,385.0,4,25735.42,2,4,3,9
CUST-00490,Oliver Chad,0.0,2,24298.48,4,2,3,9
CUST-00024,Harinakshi Khurana,141.0,3,24226.45,3,3,3,9
CUST-00423,Yagnesh Raghavan,0.0,2,23378.8,4,2,3,9
CUST-00053,Teerth Narasimhan,178.0,3,22621.79,3,3,3,9
CUST-00019,Dakshesh Koshy,778.0,5,22595.61,1,5,3,9
CUST-00252,Pratyush Sandhu,683.0,5,22073.38,1,5,3,9
CUST-00435,Finn Dar,0.0,3,21541.71,4,3,2,9
CUST-00223,Chakradev Karnik,0.0,3,20607.23,4,3,2,9
CUST-00021,Avni Tiwari,0.0,3,19906.24,4,3,2,9
CUST-00196,Krishna Sibal,0.0,3,19130.92,4,3,2,9
CUST-00049,Vedhika Randhawa,0.0,3,18688.22,4,3,2,9
CUST-00167,Yahvi Suri,0.0,3,18053.6,4,3,2,9
CUST-00256,Vinaya Sharma,0.0,3,16469.28,4,3,2,9
CUST-00117,Jack Chandran,0.0,3,16411.05,4,3,2,9
CUST-00062,Unnati Natt,107.0,4,15672.06,3,4,2,9
CUST-00474,Nilima Lanka,0.0,3,14940.71,4,3,2,9
CUST-00410,Niharika Dutt,0.0,3,12113.17,4,3,2,9
CUST-00126,Isha Sastry,1792.0,2,52938.28,0,3,5,8
CUST-00430,Faraj Saraf,1271.0,2,42617.22,1,3,4,8
CUST-00412,Vedika Malhotra,1119.0,2,41722.31,1,3,4,8
CUST-00030,Champak Memon,1275.0,2,41019.61,1,3,4,8
CUST-00360,Tanvi Bath,848.0,3,35621.21,1,3,4,8
CUST-00155,Balendra Roy,434.0,2,33998.92,2,2,4,8
CUST-00485,Caleb Trivedi,1104.0,3,33249.75,1,3,4,8
CUST-00113,Ati Sundaram,918.0,3,30724.11,1,3,4,8
CUST-00218,Ekavir Mukherjee,466.0,3,30096.34,2,3,3,8
CUST-00050,Xalak Khosla,148.0,2,29680.02,3,2,3,8
CUST-00457,Watika Kota,459.0,3,28874.87,2,3,3,8
CUST-00488,Kai Johal,26.0,2,28850.91,3,2,3,8
CUST-00180,Ekaraj Tripathi,130.0,2,28707.0,3,2,3,8
CUST-00376,Jairaj Goel,934.0,4,28519.23,1,4,3,8
CUST-00092,Falak Gopal,485.0,3,28287.19,2,3,3,8
CUST-00014,Aarna Prashad,4.0,2,28244.67,3,2,3,8
CUST-00303,Dev Ganguly,223.0,3,28081.49,2,3,3,8
CUST-00012,Mohammed Sankar,228.0,3,27864.72,2,3,3,8
CUST-00078,Hiral Contractor,551.0,3,27818.14,2,3,3,8
CUST-00404,Pushti Raghavan,587.0,3,27775.71,2,3,3,8
CUST-00254,Fitan Khanna,838.0,4,27739.83,1,4,3,8
CUST-00237,Dalaja Parsa,88.0,2,27571.57,3,2,3,8
CUST-00338,Charan Sidhu,220.0,3,27475.57,2,3,3,8
CUST-00473,Anita Solanki,556.0,3,26310.07,2,3,3,8
CUST-00158,Orinder Purohit,574.0,3,25487.03,2,3,3,8
CUST-00477,Omaja Dugar,658.0,4,24873.15,1,4,3,8
CUST-00154,Shaurya Raja,308.0,3,24816.67,2,3,3,8
CUST-00480,Radhika Hayre,678.0,4,24344.67,1,4,3,8
CUST-00472,Qasim Shanker,170.0,2,22587.32,3,2,3,8
CUST-00257,Ayushman Nigam,616.0,3,22239.45,2,3,3,8
CUST-00403,Leena Shetty,632.0,4,22117.1,1,4,3,8
CUST-00388,Balendra Sem,413.0,3,21971.91,2,3,3,8
CUST-00086,Hiral Divan,0.0,2,18308.96,4,2,2,8
CUST-00248,Sai Dube,0.0,2,17452.59,4,2,2,8
CUST-00147,Tripti Dayal,0.0,2,17196.53,4,2,2,8
CUST-00109,Yagnesh Nigam,194.0,3,16385.84,3,3,2,8
CUST-00379,Urvi Kala,302.0,4,15845.12,2,4,2,8
CUST-00271,Kashish Mittal,257.0,4,15177.78,2,4,2,8
CUST-00322,Jhalak Pandey,17.0,3,14867.33,3,3,2,8
CUST-00429,Janya Doctor,0.0,2,14779.92,4,2,2,8
CUST-00448,Yuvraj Sethi,0.0,2,14367.86,4,2,2,8
CUST-00321,Avi Dewan,0.0,2,13660.01,4,2,2,8
CUST-00168,Aarav Bose,0.0,2,12787.52,4,2,2,8
CUST-00290,Hardik Suresh,8.0,3,12032.66,3,3,2,8
CUST-00076,Libni Pingle,0.0,2,10621.71,4,2,2,8
CUST-00175,Ubika Badami,0.0,3,8362.93,4,3,1,8
CUST-00446,Theodore Dara,0.0,3,6760.44,4,3,1,8
CUST-00136,Omkaar More,1362.0,2,43802.91,0,3,4,7
CUST-00347,Faras Sampath,1699.0,2,40247.99,0,3,4,7
CUST-00215,Hemani Gokhale,829.0,2,37099.32,1,2,4,7
CUST-00415,Triya Krishna,1803.0,3,36625.23,0,3,4,7
CUST-00171,Raagini Borah,1330.0,3,33366.08,0,3,4,7
CUST-00228,Harinakshi Tailor,1223.0,2,31824.08,1,2,4,7
CUST-00059,Lipika Varty,1040.0,1,31417.67,1,2,4,7
CUST-00396,Samarth Johal,933.0,3,29469.69,1,3,3,7
CUST-00425,Anamika Uppal,714.0,3,29250.73,1,3,3,7
CUST-00458,Onveer Banerjee,1395.0,4,27697.22,0,4,3,7
CUST-00080,Dominic Sankaran,604.0,2,27578.93,2,2,3,7
CUST-00125,Rachita Gola,1176.0,3,27551.27,1,3,3,7
CUST-00386,Netra Hayre,767.0,3,24925.54,1,3,3,7
CUST-00107,Ronith Nair,492.0,2,24494.59,2,2,3,7
CUST-00320,Umang Bhardwaj,454.0,2,24431.77,2,2,3,7
CUST-00185,Jeet Deo,385.0,2,23901.7,2,2,3,7
CUST-00445,Oeshi Nori,167.0,1,23465.06,3,1,3,7
CUST-00085,Divya Chhabra,380.0,2,23426.75,2,2,3,7
CUST-00164,Ekansh Narayan,633.0,3,22202.46,1,3,3,7
CUST-00339,Luke Raj,532.0,2,21952.74,2,2,3,7
CUST-00302,Faqid Bassi,199.0,3,20493.81,2,3,2,7
CUST-00440,Bahadurjit Salvi,278.0,3,20373.18,2,3,2,7
CUST-00478,Alka Manne,223.0,3,19846.83,2,3,2,7
CUST-00402,Lila Basu,76.0,2,19538.98,3,2,2,7
CUST-00243,Vasudha Rai,798.0,4,16802.43,1,4,2,7
CUST-00471,Tristan Borde,540.0,3,15889.88,2,3,2,7
CUST-00317,Saksham Khosla,441.0,3,15418.64,2,3,2,7
CUST-00002,Pallavi Som,237.0,3,14546.14,2,3,2,7
CUST-00178,Aadi Bhat,916.0,4,14070.08,1,4,2,7
CUST-00082,Ubika Nagar,601.0,3,13173.95,2,3,2,7
CUST-00096,Sneha Pingle,356.0,3,12789.7,2,3,2,7
CUST-00161,Varsha Setty,0.0,1,10614.03,4,1,2,7
CUST-00487,Nitara Gandhi,0.0,1,10426.98,4,1,2,7
CUST-00274,Anirudh Warrior,66.0,3,7408.41,3,3,1,7
CUST-00283,Vedant Bahri,0.0,2,6056.44,4,2,1,7
CUST-00335,Gauri Deo,0.0,2,5722.67,4,2,1,7
CUST-00355,Zayan Chaudry,0.0,2,4198.08,4,2,1,7
CUST-00144,Ekaja Venkatesh,0.0,2,4089.27,4,2,1,7
CUST-00094,Saanvi Vig,0.0,2,3879.7,4,2,1,7
CUST-00230,Tanvi Narayan,0.0,2,3697.41,4,2,1,7
CUST-00074,Tanvi Peri,1829.0,2,35802.47,0,2,4,6
CUST-00075,Advik Konda,1312.0,1,34649.36,0,2,4,6
CUST-00022,Raagini Bahri,1398.0,2,34095.72,0,2,4,6
CUST-00269,Ikshita Sharma,847.0,2,30345.85,1,2,3,6
CUST-00020,Mitali Bhargava,1472.0,3,28521.35,0,3,3,6
CUST-00393,Vamakshi Gupta,1335.0,3,28263.57,0,3,3,6
CUST-00364,Urmi Wali,1186.0,2,27848.22,1,2,3,6
CUST-00380,Shravya Jaggi,897.0,2,26152.95,1,2,3,6
CUST-00236,Neelima Bhardwaj,788.0,2,26016.34,1,2,3,6
CUST-00222,Utkarsh Bhasin,674.0,2,25175.91,1,2,3,6
CUST-00318,Anusha Kalla,1038.0,2,25174.88,1,2,3,6
CUST-00183,Timothy Nigam,1210.0,2,24119.81,1,2,3,6
CUST-00170,Tanay Tripathi,1745.0,3,24101.96,0,3,3,6
CUST-00466,Omaja Shukla,1290.0,3,23919.99,0,3,3,6
CUST-00224,Urishilla Sibal,655.0,2,23752.35,1,2,3,6
CUST-00073,Wriddhish Guha,1411.0,3,23353.48,0,3,3,6
CUST-00179,Shaurya Sur,540.0,1,22436.65,2,1,3,6
CUST-00006,Victor Vora,1092.0,2,22431.9,1,2,3,6
CUST-00391,Samarth Om,1452.0,3,22099.1,0,3,3,6
CUST-00397,Prisha Mitra,1019.0,2,21994.35,1,2,3,6
CUST-00275,Laksh Suresh,779.0,3,21599.64,1,3,2,6
CUST-00121,Yash Dhaliwal,479.0,2,20902.39,2,2,2,6
CUST-00498,Nachiket Johal,430.0,2,19043.68,2,2,2,6
CUST-00496,Kai Suresh,444.0,2,15441.53,2,2,2,6
CUST-00087,Anusha Shukla,475.0,2,14790.61,2,2,2,6
CUST-00083,Atharv Tailor,518.0,2,14227.12,2,2,2,6
CUST-00176,Teerth Hari,215.0,2,12718.04,2,2,2,6
CUST-00332,Chanakya Kanda,653.0,3,11888.3,1,3,2,6
CUST-00407,Kamya Loke,841.0,3,10999.33,1,3,2,6
CUST-00115,Barkha Ahuja,552.0,2,10589.38,2,2,2,6
CUST-00483,Victor Sheth,253.0,2,10383.7,2,2,2,6
CUST-00047,Varsha Sastry,194.0,2,10273.82,3,2,1,6
CUST-00132,Leena Ratti,463.0,3,9225.06,2,3,1,6
CUST-00207,Suhani Chowdhury,176.0,2,7715.67,3,2,1,6
CUST-00433,Balveer Chahal,131.0,2,7366.79,3,2,1,6
CUST-00455,Tanay Lata,151.0,2,7302.65,3,2,1,6
CUST-00187,Arunima Sagar,0.0,1,6482.28,4,1,1,6
CUST-00246,Kiaan Sharaf,0.0,1,5621.18,4,1,1,6
CUST-00089,Zarna Mitra,0.0,1,3676.0,4,1,1,6
CUST-00008,Warhi Bhatnagar,0.0,1,3645.01,4,1,1,6
CUST-00065,Ishita Bail,0.0,1,0.0,4,1,1,6
CUST-00366,Girik Srivastava,0.0,1,0.0,4,1,1,6
CUST-00284,Ekaraj Sibal,2020.0,2,29129.35,0,2,3,5
CUST-00160,Owen Upadhyay,1347.0,2,28863.97,0,2,3,5
CUST-00387,Sai Dube,1334.0,2,27896.16,0,2,3,5
CUST-00368,Yochana Kari,1859.0,2,27721.04,0,2,3,5
CUST-00210,Warda Yadav,909.0,1,24776.32,1,1,3,5
CUST-00231,Charles Soni,1757.0,2,21956.88,0,2,3,5
CUST-00464,Viraj Balakrishnan,825.0,2,21016.38,1,2,2,5
CUST-00463,Dominic Rajan,916.0,2,20869.13,1,2,2,5
CUST-00140,Aayush Sodhi,1265.0,2,20539.42,1,2,2,5
CUST-00205,Siddharth Varkey,1238.0,2,20354.9,1,2,2,5
CUST-00424,Pranav Pandya,741.0,2,17822.48,1,2,2,5
CUST-00442,Xavier Gulati,1113.0,2,16695.6,1,2,2,5
CUST-00220,Falan Kadakia,1833.0,3,16610.54,0,3,2,5
CUST-00394,Nachiket Sankaran,1031.0,2,16028.06,1,2,2,5
CUST-00197,Manthan Balan,490.0,1,15973.78,2,1,2,5
CUST-00235,Amruta Viswanathan,605.0,1,15884.8,2,1,2,5
CUST-00103,Nachiket Balan,847.0,2,15508.34,1,2,2,5
CUST-00018,Aarav Vyas,1083.0,2,15108.65,1,2,2,5
CUST-00286,Waida Apte,659.0,2,12721.18,1,2,2,5
CUST-00098,Wyatt Dubey,265.0,1,12579.91,2,1,2,5
CUST-00461,Tanvi Pathak,1109.0,2,11724.97,1,2,2,5
CUST-00345,Ria Natt,1035.0,2,11552.05,1,2,2,5
CUST-00310,Varsha Devan,1280.0,3,11128.25,0,3,2,5
CUST-00146,Reva Prabhu,837.0,2,10519.27,1,2,2,5
CUST-00262,Chameli Chahal,382.0,2,9531.15,2,2,1,5
CUST-00031,Bhavya Oommen,165.0,1,8426.37,3,1,1,5
CUST-00123,Panini Bath,550.0,2,7346.92,2,2,1,5
CUST-00265,Om Amble,408.0,2,7017.88,2,2,1,5
CUST-00102,Vrishti Natarajan,287.0,2,6129.16,2,2,1,5
CUST-00331,Gaurang Pal,86.0,1,5968.05,3,1,1,5
CUST-00400,Faras Parmar,766.0,3,5446.92,1,3,1,5
CUST-00294,Madhavi Narayanan,56.0,1,4294.26,3,1,1,5
CUST-00305,Netra Karan,531.0,2,3289.31,2,2,1,5
CUST-00142,Sai Vala,192.0,1,2291.64,3,1,1,5
CUST-00042,Gaurangi Bhasin,357.0,2,2060.17,2,2,1,5
