customer_id,customer_name,lifetime_value,value_segment
CUST-00129,Vanya Thaman,42263.44,Platinum
CUST-00209,Umang Shetty,41902.69,Platinum
CUST-00046,Siya Desai,41783.0,Platinum
CUST-00412,Vedika Malhotra,41722.31,Platinum
CUST-00063,Yatin Bumb,41531.31,Platinum
CUST-00217,Manthan Shere,41326.91,Platinum
CUST-00395,Darika Zacharia,41288.68,Platinum
CUST-00312,Vedhika Som,41206.05,Platinum
CUST-00298,Baljiwan Chaudhuri,41063.35,Platinum
CUST-00030,Champak Memon,41019.61,Platinum
CUST-00426,Chaitanya Singhal,40962.75,Gold
CUST-00174,Harita Sandal,40940.91,Gold
CUST-00069,Mitali Reddy,40896.55,Gold
CUST-00452,Sara Vasa,40883.56,Gold
CUST-00111,Raagini Upadhyay,40829.59,Gold
CUST-00077,Jasmit Reddy,40552.42,Gold
CUST-00244,Ridhi Mistry,40450.41,Gold
CUST-00465,Henry Som,40397.88,Gold
CUST-00277,Dhruv Bose,40285.79,Gold
CUST-00347,Faras Sampath,40247.99,Gold
CUST-00005,Harrison Chada,40197.61,Gold
CUST-00344,Gaurika Bhatia,40146.11,Gold
CUST-00494,Shravya Patil,40007.11,Gold
CUST-00242,Geetika Keer,39988.52,Gold
CUST-00352,Chanakya Rastogi,39968.92,Gold
CUST-00206,Gaurika Dhar,39671.69,Gold
CUST-00145,Kalpit Mitra,39648.56,Gold
CUST-00084,Dominic Dutt,39595.89,Gold
CUST-00370,Daniel Ravel,38825.99,Gold
CUST-00221,Chanchal Bhat,38814.49,Gold
CUST-00500,Tarak Pall,38777.29,Gold
CUST-00025,Bachittar Ben,38530.87,Gold
CUST-00033,Chatura Balay,38154.6,Gold
CUST-00398,Ucchal Kamdar,38148.51,Gold
CUST-00225,Mohini Apte,37414.32,Gold
CUST-00215,Hemani Gokhale,37099.32,Gold
CUST-00381,Azaan Sehgal,36848.27,Gold
CUST-00247,Ayaan Dave,36799.88,Gold
CUST-00415,Triya Krishna,36625.23,Gold
CUST-00385,Eesha Kibe,36583.34,Gold
CUST-00358,Raghav Kumar,36544.41,Gold
CUST-00432,Nimrat Krishna,36174.31,Gold
CUST-00038,Oliver Agate,35948.89,Gold
CUST-00074,Tanvi Peri,35802.47,Gold
CUST-00360,Tanvi Bath,35621.21,Gold
CUST-00313,Ojas Seth,35429.15,Gold
CUST-00195,Gaurav Narasimhan,34771.65,Gold
CUST-00282,Yatin Chandra,34739.92,Gold
CUST-00075,Advik Konda,34649.36,Gold
CUST-00428,Harrison Kashyap,34629.91,Gold
CUST-00306,Watika Sodhi,34610.32,Gold
CUST-00307,Megha Balan,34592.59,Gold
CUST-00153,Ekalinga Bala,34303.56,Gold
CUST-00411,Faras Bhalla,34290.63,Gold
CUST-00270,Brinda Lad,34242.71,Gold
CUST-00186,Ansh Deo,34229.5,Gold
CUST-00022,Raagini Bahri,34095.72,Gold
CUST-00155,Balendra Roy,33998.92,Gold
CUST-00052,Chakrika Gour,33988.02,Gold
CUST-00163,Oni Gola,33959.42,Gold
CUST-00258,Tanay Bansal,33869.09,Gold
CUST-00214,Yachana Aggarwal,33655.32,Gold
CUST-00067,Abhiram Karpe,33613.22,Gold
CUST-00374,Mugdha Gaba,33547.6,Gold
CUST-00171,Raagini Borah,33366.08,Gold
CUST-00004,Om Samra,33312.14,Gold
CUST-00485,Caleb Trivedi,33249.75,Gold
CUST-00373,Christopher Chad,32052.47,Gold
CUST-00228,Harinakshi Tailor,31824.08,Gold
CUST-00213,Ikbal Bedi,31666.38,Gold
CUST-00091,Niharika Bhardwaj,31617.2,Gold
CUST-00138,Sai Dugal,31559.47,Gold
CUST-00059,Lipika Varty,31417.67,Gold
CUST-00234,Neha Purohit,31366.25,Gold
CUST-00169,Atharv Baria,31316.77,Gold
CUST-00036,Aayush Maharaj,31078.11,Gold
CUST-00365,Ayush Zacharia,30905.22,Gold
CUST-00165,Praneel Shroff,30777.12,Gold
CUST-00113,Ati Sundaram,30724.11,Gold
CUST-00190,Henry Lad,30612.8,Gold
CUST-00482,Gauri Parmer,30524.62,Gold
CUST-00459,Damyanti Som,30404.43,Gold
CUST-00269,Ikshita Sharma,30345.85,Gold
CUST-00218,Ekavir Mukherjee,30096.34,Gold
CUST-00116,Pavani Swaminathan,30056.39,Gold
CUST-00112,Logan Manne,29940.85,Gold
CUST-00050,Xalak Khosla,29680.02,Gold
CUST-00396,Samarth Johal,29469.69,Gold
CUST-00425,Anamika Uppal,29250.73,Gold
CUST-00284,Ekaraj Sibal,29129.35,Gold
CUST-00457,Watika Kota,28874.87,Gold
CUST-00160,Owen Upadhyay,28863.97,Gold
CUST-00488,Kai Johal,28850.91,Gold
CUST-00180,Ekaraj Tripathi,28707.0,Gold
CUST-00340,Charvi Srinivasan,28648.78,Gold
CUST-00020,Mitali Bhargava,28521.35,Gold
CUST-00376,Jairaj Goel,28519.23,Gold
CUST-00296,Warinder Shroff,28356.91,Gold
CUST-00362,Lucky Gokhale,28293.26,Gold
CUST-00092,Falak Gopal,28287.19,Gold
CUST-00393,Vamakshi Gupta,28263.57,Gold
CUST-00014,Aarna Prashad,28244.67,Gold
CUST-00303,Dev Ganguly,28081.49,Gold
CUST-00259,Oeshi Wali,28042.94,Gold
CUST-00387,Sai Dube,27896.16,Gold
CUST-00012,Mohammed Sankar,27864.72,Gold
CUST-00328,Chakradev Madan,27850.28,Gold
CUST-00364,Urmi Wali,27848.22,Gold
CUST-00078,Hiral Contractor,27818.14,Gold
CUST-00404,Pushti Raghavan,27775.71,Gold
CUST-00254,Fitan Khanna,27739.83,Gold
CUST-00368,Yochana Kari,27721.04,Gold
CUST-00458,Onveer Banerjee,27697.22,Gold
CUST-00276,Vasana Nayak,27584.28,Gold
CUST-00080,Dominic Sankaran,27578.93,Gold
CUST-00237,Dalaja Parsa,27571.57,Gold
CUST-00125,Rachita Gola,27551.27,Gold
CUST-00245,Rohan Krishnamurthy,27495.09,Gold
CUST-00338,Charan Sidhu,27475.57,Gold
CUST-00260,Jhalak Hans,27393.99,Gold
CUST-00497,Harish Nazareth,26911.3,Gold
CUST-00150,Megha Chaudhary,26807.51,Gold
CUST-00041,Pallavi Dayal,26682.24,Gold
CUST-00372,Gautami Boase,26612.64,Gold
CUST-00467,Bimala Issac,26443.91,Gold
CUST-00291,Gautami Sodhi,26386.14,Gold
CUST-00473,Anita Solanki,26310.07,Gold
CUST-00375,Sarthak Ravi,26273.38,Gold
CUST-00380,Shravya Jaggi,26152.95,Gold
CUST-00236,Neelima Bhardwaj,26016.34,Gold
CUST-00229,Fitan Sarkar,25791.46,Gold
CUST-00249,Zashil Desai,25735.42,Gold
CUST-00336,Ishani Deshmukh,25595.54,Silver
CUST-00158,Orinder Purohit,25487.03,Silver
CUST-00222,Utkarsh Bhasin,25175.91,Silver
CUST-00318,Anusha Kalla,25174.88,Silver
CUST-00071,Veer Sharaf,25114.67,Silver
CUST-00157,Irya Narayan,25112.93,Silver
CUST-00399,Rachana Pal,25027.87,Silver
CUST-00386,Netra Hayre,24925.54,Silver
CUST-00477,Omaja Dugar,24873.15,Silver
CUST-00154,Shaurya Raja,24816.67,Silver
CUST-00210,Warda Yadav,24776.32,Silver
CUST-00349,Upma Amble,24744.89,Silver
CUST-00107,Ronith Nair,24494.59,Silver
CUST-00320,Umang Bhardwaj,24431.77,Silver
CUST-00480,Radhika Hayre,24344.67,Silver
CUST-00490,Oliver Chad,24298.48,Silver
CUST-00024,Harinakshi Khurana,24226.45,Silver
CUST-00382,Gavin Sanghvi,24150.48,Silver
CUST-00392,Orinder Panchal,24134.0,Silver
CUST-00183,Timothy Nigam,24119.81,Silver
CUST-00170,Tanay Tripathi,24101.96,Silver
CUST-00216,Logan Murty,23948.15,Silver
CUST-00466,Omaja Shukla,23919.99,Silver
CUST-00185,Jeet Deo,23901.7,Silver
CUST-00253,Harini Dhar,23775.65,Silver
CUST-00224,Urishilla Sibal,23752.35,Silver
CUST-00389,Qasim Sha,23689.01,Silver
CUST-00104,Jacob Sastry,23484.05,Silver
CUST-00445,Oeshi Nori,23465.06,Silver
CUST-00085,Divya Chhabra,23426.75,Silver
CUST-00423,Yagnesh Raghavan,23378.8,Silver
CUST-00073,Wriddhish Guha,23353.48,Silver
CUST-00061,Veda Padmanabhan,23192.81,Silver
CUST-00203,Saanvi Bajwa,23171.91,Silver
CUST-00053,Teerth Narasimhan,22621.79,Silver
CUST-00019,Dakshesh Koshy,22595.61,Silver
CUST-00472,Qasim Shanker,22587.32,Silver
CUST-00179,Shaurya Sur,22436.65,Silver
CUST-00006,Victor Vora,22431.9,Silver
CUST-00257,Ayushman Nigam,22239.45,Silver
CUST-00164,Ekansh Narayan,22202.46,Silver
CUST-00403,Leena Shetty,22117.1,Silver
CUST-00391,Samarth Om,22099.1,Silver
CUST-00252,Pratyush Sandhu,22073.38,Silver
CUST-00397,Prisha Mitra,21994.35,Silver
CUST-00388,Balendra Sem,21971.91,Silver
CUST-00231,Charles Soni,21956.88,Silver
CUST-00339,Luke Raj,21952.74,Silver
CUST-00099,Liam Joshi,21901.25,Silver
CUST-00275,Laksh Suresh,21599.64,Silver
CUST-00435,Finn Dar,21541.71,Silver
CUST-00464,Viraj Balakrishnan,21016.38,Silver
CUST-00121,Yash Dhaliwal,20902.39,Silver
CUST-00463,Dominic Rajan,20869.13,Silver
CUST-00223,Chakradev Karnik,20607.23,Silver
CUST-00140,Aayush Sodhi,20539.42,Silver
CUST-00302,Faqid Bassi,20493.81,Silver
CUST-00421,Omkaar Khare,20435.02,Silver
CUST-00440,Bahadurjit Salvi,20373.18,Silver
CUST-00205,Siddharth Varkey,20354.9,Silver
CUST-00173,Kabir Krishna,20289.01,Silver
CUST-00021,Avni Tiwari,19906.24,Silver
CUST-00478,Alka Manne,19846.83,Silver
CUST-00297,Guneet Som,19568.23,Silver
CUST-00402,Lila Basu,19538.98,Silver
CUST-00292,Gunbir Mukhopadhyay,19464.88,Silver
CUST-00295,Arin Varty,19324.39,Silver
CUST-00196,Krishna Sibal,19130.92,Silver
CUST-00498,Nachiket Johal,19043.68,Silver
CUST-00055,Vyanjana Oommen,18981.59,Silver
CUST-00108,Avni Nayak,18901.26,Silver
CUST-00049,Vedhika Randhawa,18688.22,Silver
CUST-00039,Bhavna Ramaswamy,18320.27,Silver
CUST-00086,Hiral Divan,18308.96,Silver
CUST-00167,Yahvi Suri,18053.6,Silver
CUST-00424,Pranav Pandya,17822.48,Silver
CUST-00248,Sai Dube,17452.59,Silver
CUST-00147,Tripti Dayal,17196.53,Silver
CUST-00377,David Dugal,17189.16,Silver
CUST-00356,Anvi Ben,17100.39,Silver
CUST-00110,Ronith Varma,17023.77,Silver
CUST-00243,Vasudha Rai,16802.43,Silver
CUST-00442,Xavier Gulati,16695.6,Silver
CUST-00220,Falan Kadakia,16610.54,Silver
CUST-00072,Bimala Bains,16545.6,Silver
CUST-00256,Vinaya Sharma,16469.28,Silver
CUST-00117,Jack Chandran,16411.05,Silver
CUST-00109,Yagnesh Nigam,16385.84,Silver
CUST-00394,Nachiket Sankaran,16028.06,Silver
CUST-00197,Manthan Balan,15973.78,Silver
CUST-00023,Devika Sarin,15971.03,Silver
CUST-00471,Tristan Borde,15889.88,Silver
CUST-00235,Amruta Viswanathan,15884.8,Silver
CUST-00379,Urvi Kala,15845.12,Silver
CUST-00062,Unnati Natt,15672.06,Silver
CUST-00103,Nachiket Balan,15508.34,Silver
CUST-00496,Kai Suresh,15441.53,Silver
CUST-00148,Vivaan Mital,15436.02,Silver
CUST-00317,Saksham Khosla,15418.64,Silver
CUST-00271,Kashish Mittal,15177.78,Silver
CUST-00018,Aarav Vyas,15108.65,Silver
CUST-00474,Nilima Lanka,14940.71,Silver
CUST-00322,Jhalak Pandey,14867.33,Silver
CUST-00087,Anusha Shukla,14790.61,Silver
CUST-00429,Janya Doctor,14779.92,Silver
CUST-00200,Chaman De,14739.04,Silver
CUST-00002,Pallavi Som,14546.14,Silver
CUST-00448,Yuvraj Sethi,14367.86,Silver
CUST-00043,Ishaan Ramachandran,14349.25,Silver
CUST-00240,Urvashi Anand,14331.86,Silver
CUST-00083,Atharv Tailor,14227.12,Silver
CUST-00178,Aadi Bhat,14070.08,Silver
CUST-00321,Avi Dewan,13660.01,Silver
CUST-00250,Upma Raj,13575.13,Silver
CUST-00082,Ubika Nagar,13173.95,Silver
CUST-00114,Matthew Bhakta,13148.67,Silver
CUST-00456,Yashica Ramakrishnan,12967.01,Silver
CUST-00096,Sneha Pingle,12789.7,Silver
CUST-00168,Aarav Bose,12787.52,Silver
CUST-00208,Hritik Dasgupta,12770.91,Silver
CUST-00286,Waida Apte,12721.18,Silver
CUST-00176,Teerth Hari,12718.04,Silver
CUST-00098,Wyatt Dubey,12579.91,Bronze
CUST-00003,Caleb Loyal,12579.26,Bronze
CUST-00285,Bishakha Bal,12163.21,Bronze
CUST-00410,Niharika Dutt,12113.17,Bronze
CUST-00290,Hardik Suresh,12032.66,Bronze
CUST-00131,Laban Wadhwa,11948.68,Bronze
CUST-00332,Chanakya Kanda,11888.3,Bronze
CUST-00056,Fiyaz Nagarajan,11874.5,Bronze
CUST-00461,Tanvi Pathak,11724.97,Bronze
CUST-00491,Maya Wali,11582.66,Bronze
CUST-00345,Ria Natt,11552.05,Bronze
CUST-00383,Lajita Pandey,11195.52,Bronze
CUST-00202,Abdul Murty,11149.48,Bronze
CUST-00310,Varsha Devan,11128.25,Bronze
CUST-00407,Kamya Loke,10999.33,Bronze
CUST-00337,Aishani Gopal,10929.75,Bronze
CUST-00324,Upasna Ray,10926.74,Bronze
CUST-00422,Omkaar Bhatnagar,10713.98,Bronze
CUST-00076,Libni Pingle,10621.71,Bronze
CUST-00161,Varsha Setty,10614.03,Bronze
CUST-00115,Barkha Ahuja,10589.38,Bronze
CUST-00146,Reva Prabhu,10519.27,Bronze
CUST-00487,Nitara Gandhi,10426.98,Bronze
CUST-00483,Victor Sheth,10383.7,Bronze
CUST-00047,Varsha Sastry,10273.82,Bronze
CUST-00007,Chameli Bath,10229.93,Bronze
CUST-00010,Brinda Raman,10018.58,Bronze
CUST-00262,Chameli Chahal,9531.15,Bronze
CUST-00462,Bishakha Gara,9350.2,Bronze
CUST-00314,Kabir Bahri,9332.7,Bronze
CUST-00132,Leena Ratti,9225.06,Bronze
CUST-00204,Zansi Gala,9194.23,Bronze
CUST-00031,Bhavya Oommen,8426.37,Bronze
CUST-00175,Ubika Badami,8362.93,Bronze
CUST-00469,Balendra Rajagopal,8119.7,Bronze
CUST-00032,Ekanta Bhagat,7779.43,Bronze
CUST-00207,Suhani Chowdhury,7715.67,Bronze
CUST-00134,Oscar Yogi,7699.65,Bronze
CUST-00238,Avni Suresh,7491.55,Bronze
CUST-00274,Anirudh Warrior,7408.41,Bronze
CUST-00433,Balveer Chahal,7366.79,Bronze
CUST-00123,Panini Bath,7346.92,Bronze
CUST-00455,Tanay Lata,7302.65,Bronze
CUST-00268,Krishna Patla,7295.29,Bronze
CUST-00265,Om Amble,7017.88,Bronze
CUST-00288,Kevin Ratti,6991.68,Bronze
CUST-00406,Gautami Dada,6983.6,Bronze
CUST-00193,Anirudh Rege,6976.85,Bronze
CUST-00034,Pratyush Sahota,6787.27,Bronze
CUST-00446,Theodore Dara,6760.44,Bronze
CUST-00343,Chanakya Chakraborty,6664.28,Bronze
CUST-00266,Ekavir Bassi,6587.15,Bronze
CUST-00371,Rayaan Golla,6548.7,Bronze
CUST-00187,Arunima Sagar,6482.28,Bronze
CUST-00416,Nicholas Chana,6481.71,Bronze
CUST-00102,Vrishti Natarajan,6129.16,Bronze
CUST-00453,Tara Manne,6119.78,Bronze
CUST-00283,Vedant Bahri,6056.44,Bronze
CUST-00331,Gaurang Pal,5968.05,Bronze
CUST-00335,Gauri Deo,5722.67,Bronze
CUST-00246,Kiaan Sharaf,5621.18,Bronze
CUST-00316,Elijah Varghese,5584.79,Bronze
CUST-00287,Henry Ramaswamy,5532.32,Bronze
CUST-00001,Theodore Arya,5469.67,Bronze
CUST-00330,Indrajit Bhatnagar,5448.46,Bronze
CUST-00400,Faras Parmar,5446.92,Bronze
CUST-00476,Aayush Borra,5411.44,Bronze
CUST-00378,Fitan Khalsa,5337.64,Bronze
CUST-00468,Zansi Brahmbhatt,5188.07,Bronze
CUST-00035,Tamanna Sethi,4957.74,Bronze
CUST-00068,Devansh Parsa,4564.56,Bronze
CUST-00294,Madhavi Narayanan,4294.26,Bronze
CUST-00355,Zayan Chaudry,4198.08,Bronze
CUST-00144,Ekaja Venkatesh,4089.27,Bronze
CUST-00094,Saanvi Vig,3879.7,Bronze
CUST-00230,Tanvi Narayan,3697.41,Bronze
CUST-00199,Aarnav Sastry,3683.3,Bronze
CUST-00089,Zarna Mitra,3676.0,Bronze
CUST-00008,Warhi Bhatnagar,3645.01,Bronze
CUST-00470,Jagrati Raghavan,3578.3,Bronze
CUST-00305,Netra Karan,3289.31,Bronze
CUST-00142,Sai Vala,2291.64,Bronze
CUST-00042,Gaurangi Bhasin,2060.17,Bronze
CUST-00106,Rajata Balakrishnan,99.93,Bronze
CUST-00273,Yamini Handa,85.83,Bronze
CUST-00011,Wakeeta Choudhary,0.0,Bronze
CUST-00013,Ekani Bose,0.0,Bronze
CUST-00027,Ekta Arora,0.0,Bronze
CUST-00037,Chatresh Kohli,0.0,Bronze
CUST-00057,Yahvi Varkey,0.0,Bronze
CUST-00065,Ishita Bail,0.0,Bronze
CUST-00088,Ekantika Chacko,0.0,Bronze
CUST-00090,Gaurang Sagar,0.0,Bronze
CUST-00122,Nathan Swamy,0.0,Bronze
CUST-00130,Hritik Dugar,0.0,Bronze
CUST-00133,Vanya Ramachandran,0.0,Bronze
CUST-00137,Chaitanya Narayan,0.0,Bronze
CUST-00141,Warda Prakash,0.0,Bronze
CUST-00191,Falguni Lall,0.0,Bronze
CUST-00198,Bahadurjit Pandya,0.0,Bronze
CUST-00212,Parth Sur,0.0,Bronze
CUST-00232,Deepa Bajwa,0.0,Bronze
CUST-00263,Harish Seshadri,0.0,Bronze
CUST-00281,Manthan Rama,0.0,Bronze
CUST-00304,Tripti Kaur,0.0,Bronze
CUST-00308,Anvi Oza,0.0,Bronze
CUST-00311,Tanmayi Sathe,0.0,Bronze
CUST-00315,Nathan Bhatnagar,0.0,Bronze
CUST-00319,Krish Thakur,0.0,Bronze
CUST-00327,Aarini Goda,0.0,Bronze
CUST-00341,Aashi Gade,0.0,Bronze
CUST-00346,Mohammed Mander,0.0,Bronze
CUST-00357,Advaith Sen,0.0,Bronze
CUST-00366,Girik Srivastava,0.0,Bronze
CUST-00418,Anay Swamy,0.0,Bronze
CUST-00420,Vasana Dora,0.0,Bronze
CUST-00438,Isha Tak,0.0,Bronze
CUST-00460,Dayita Suri,0.0,Bronze
CUST-00475,Indira Morar,0.0,Bronze
CUST-00484,Mitali Seth,0.0,Bronze
CUST-00486,Faraj Nayak,0.0,Bronze
CUST-00495,Atharv Dar,0.0,Bronze
