customer_id,customer_name,total_spend,spend_segment
CUST-00216,Logan Murty,23948.15,Medium
CUST-00466,Omaja Shukla,23919.99,Medium
CUST-00185,Jeet Deo,23901.7,Medium
CUST-00253,Harini Dhar,23775.65,Medium
CUST-00224,Urishilla Sibal,23752.35,Medium
CUST-00389,Qasim Sha,23689.01,Medium
CUST-00104,Jacob Sastry,23484.05,Medium
CUST-00445,Oeshi Nori,23465.06,Medium
CUST-00085,Divya Chhabra,23426.75,Medium
CUST-00423,Yagnesh Raghavan,23378.8,Medium
CUST-00073,Wriddhish Guha,23353.48,Medium
CUST-00061,Veda Padmanabhan,23192.81,Medium
CUST-00203,Saanvi Bajwa,23171.91,Medium
CUST-00053,Teerth Narasimhan,22621.79,Medium
CUST-00019,Dakshesh Koshy,22595.61,Medium
CUST-00472,Qasim Shanker,22587.32,Medium
CUST-00179,Shaurya Sur,22436.65,Medium
CUST-00006,Victor Vora,22431.9,Medium
CUST-00257,Ayushman Nigam,22239.45,Medium
CUST-00164,Ekansh Narayan,22202.46,Medium
CUST-00403,Leena Shetty,22117.1,Medium
CUST-00391,Samarth Om,22099.1,Medium
CUST-00252,Pratyush Sandhu,22073.38,Medium
CUST-00397,Prisha Mitra,21994.35,Medium
CUST-00388,Balendra Sem,21971.91,Medium
CUST-00231,Charles Soni,21956.88,Medium
CUST-00339,Luke Raj,21952.74,Medium
CUST-00099,Liam Joshi,21901.25,Medium
CUST-00275,Laksh Suresh,21599.64,Medium
CUST-00435,Finn Dar,21541.71,Medium
CUST-00464,Viraj Balakrishnan,21016.38,Medium
CUST-00121,Yash Dhaliwal,20902.39,Medium
CUST-00463,Dominic Rajan,20869.13,Medium
CUST-00223,Chakradev Karnik,20607.23,Medium
CUST-00140,Aayush Sodhi,20539.42,Medium
CUST-00302,Faqid Bassi,20493.81,Medium
CUST-00421,Omkaar Khare,20435.02,Medium
CUST-00440,Bahadurjit Salvi,20373.18,Medium
CUST-00205,Siddharth Varkey,20354.9,Medium
CUST-00173,Kabir Krishna,20289.01,Medium
CUST-00021,Avni Tiwari,19906.24,Medium
CUST-00478,Alka Manne,19846.83,Medium
CUST-00297,Guneet Som,19568.23,Medium
CUST-00402,Lila Basu,19538.98,Medium
CUST-00292,Gunbir Mukhopadhyay,19464.88,Medium
CUST-00295,Arin Varty,19324.39,Medium
CUST-00196,Krishna Sibal,19130.92,Medium
CUST-00498,Nachiket Johal,19043.68,Medium
CUST-00055,Vyanjana Oommen,18981.59,Medium
CUST-00108,Avni Nayak,18901.26,Medium
CUST-00049,Vedhika Randhawa,18688.22,Medium
CUST-00039,Bhavna Ramaswamy,18320.27,Medium
CUST-00086,Hiral Divan,18308.96,Medium
CUST-00167,Yahvi Suri,18053.6,Medium
CUST-00424,Pranav Pandya,17822.48,Medium
CUST-00248,Sai Dube,17452.59,Medium
CUST-00147,Tripti Dayal,17196.53,Medium
CUST-00377,David Dugal,17189.16,Medium
CUST-00356,Anvi Ben,17100.39,Medium
CUST-00110,Ronith Varma,17023.77,Medium
CUST-00243,Vasudha Rai,16802.43,Medium
CUST-00442,Xavier Gulati,16695.6,Medium
CUST-00220,Falan Kadakia,16610.54,Medium
CUST-00072,Bimala Bains,16545.6,Medium
CUST-00256,Vinaya Sharma,16469.28,Medium
CUST-00117,Jack Chandran,16411.05,Medium
CUST-00109,Yagnesh Nigam,16385.84,Medium
CUST-00394,Nachiket Sankaran,16028.06,Medium
CUST-00197,Manthan Balan,15973.78,Medium
CUST-00023,Devika Sarin,15971.03,Medium
CUST-00471,Tristan Borde,15889.88,Medium
CUST-00235,Amruta Viswanathan,15884.8,Medium
CUST-00379,Urvi Kala,15845.12,Medium
CUST-00062,Unnati Natt,15672.06,Medium
CUST-00103,Nachiket Balan,15508.34,Medium
CUST-00496,Kai Suresh,15441.53,Medium
CUST-00148,Vivaan Mital,15436.02,Medium
CUST-00317,Saksham Khosla,15418.64,Medium
CUST-00271,Kashish Mittal,15177.78,Medium
CUST-00018,Aarav Vyas,15108.65,Medium
CUST-00474,Nilima Lanka,14940.71,Medium
CUST-00322,Jhalak Pandey,14867.33,Medium
CUST-00087,Anusha Shukla,14790.61,Medium
CUST-00429,Janya Doctor,14779.92,Medium
CUST-00200,Chaman De,14739.04,Medium
CUST-00002,Pallavi Som,14546.14,Medium
CUST-00448,Yuvraj Sethi,14367.86,Medium
CUST-00043,Ishaan Ramachandran,14349.25,Medium
CUST-00240,Urvashi Anand,14331.86,Medium
CUST-00083,Atharv Tailor,14227.12,Medium
CUST-00178,Aadi Bhat,14070.08,Medium
CUST-00321,Avi Dewan,13660.01,Medium
CUST-00250,Upma Raj,13575.13,Medium
CUST-00082,Ubika Nagar,13173.95,Medium
CUST-00114,Matthew Bhakta,13148.67,Medium
CUST-00456,Yashica Ramakrishnan,12967.01,Medium
CUST-00096,Sneha Pingle,12789.7,Medium
CUST-00168,Aarav Bose,12787.52,Medium
CUST-00208,Hritik Dasgupta,12770.91,Medium
CUST-00286,Waida Apte,12721.18,Medium
CUST-00176,Teerth Hari,12718.04,Medium
CUST-00098,Wyatt Dubey,12579.91,Medium
CUST-00003,Caleb Loyal,12579.26,Medium
CUST-00285,Bishakha Bal,12163.21,Medium
CUST-00410,Niharika Dutt,12113.17,Medium
CUST-00290,Hardik Suresh,12032.66,Medium
CUST-00131,Laban Wadhwa,11948.68,Medium
CUST-00332,Chanakya Kanda,11888.3,Medium
CUST-00056,Fiyaz Nagarajan,11874.5,Medium
CUST-00461,Tanvi Pathak,11724.97,Medium
CUST-00491,Maya Wali,11582.66,Medium
CUST-00345,Ria Natt,11552.05,Medium
CUST-00383,Lajita Pandey,11195.52,Medium
CUST-00202,Abdul Murty,11149.48,Medium
CUST-00310,Varsha Devan,11128.25,Medium
CUST-00407,Kamya Loke,10999.33,Medium
CUST-00337,Aishani Gopal,10929.75,Medium
CUST-00324,Upasna Ray,10926.74,Medium
CUST-00422,Omkaar Bhatnagar,10713.98,Medium
CUST-00076,Libni Pingle,10621.71,Medium
CUST-00161,Varsha Setty,10614.03,Medium
CUST-00115,Barkha Ahuja,10589.38,Medium
CUST-00146,Reva Prabhu,10519.27,Medium
CUST-00487,Nitara Gandhi,10426.98,Medium
CUST-00483,Victor Sheth,10383.7,Medium
CUST-00047,Varsha Sastry,10273.82,Medium
CUST-00007,Chameli Bath,10229.93,Medium
CUST-00010,Brinda Raman,10018.58,Medium
CUST-00262,Chameli Chahal,9531.15,Low
CUST-00462,Bishakha Gara,9350.2,Low
CUST-00314,Kabir Bahri,9332.7,Low
CUST-00132,Leena Ratti,9225.06,Low
CUST-00204,Zansi Gala,9194.23,Low
CUST-00031,Bhavya Oommen,8426.37,Low
CUST-00175,Ubika Badami,8362.93,Low
CUST-00469,Balendra Rajagopal,8119.7,Low
CUST-00032,Ekanta Bhagat,7779.43,Low
CUST-00207,Suhani Chowdhury,7715.67,Low
CUST-00134,Oscar Yogi,7699.65,Low
CUST-00238,Avni Suresh,7491.55,Low
CUST-00274,Anirudh Warrior,7408.41,Low
CUST-00433,Balveer Chahal,7366.79,Low
CUST-00123,Panini Bath,7346.92,Low
CUST-00455,Tanay Lata,7302.65,Low
CUST-00268,Krishna Patla,7295.29,Low
CUST-00265,Om Amble,7017.88,Low
CUST-00288,Kevin Ratti,6991.68,Low
CUST-00406,Gautami Dada,6983.6,Low
CUST-00193,Anirudh Rege,6976.85,Low
CUST-00034,Pratyush Sahota,6787.27,Low
CUST-00446,Theodore Dara,6760.44,Low
CUST-00343,Chanakya Chakraborty,6664.28,Low
CUST-00266,Ekavir Bassi,6587.15,Low
CUST-00371,Rayaan Golla,6548.7,Low
CUST-00187,Arunima Sagar,6482.28,Low
CUST-00416,Nicholas Chana,6481.71,Low
CUST-00102,Vrishti Natarajan,6129.16,Low
CUST-00453,Tara Manne,6119.78,Low
CUST-00283,Vedant Bahri,6056.44,Low
CUST-00331,Gaurang Pal,5968.05,Low
CUST-00335,Gauri Deo,5722.67,Low
CUST-00246,Kiaan Sharaf,5621.18,Low
CUST-00316,Elijah Varghese,5584.79,Low
CUST-00287,Henry Ramaswamy,5532.32,Low
CUST-00001,Theodore Arya,5469.67,Low
CUST-00330,Indrajit Bhatnagar,5448.46,Low
CUST-00400,Faras Parmar,5446.92,Low
CUST-00476,Aayush Borra,5411.44,Low
CUST-00378,Fitan Khalsa,5337.64,Low
CUST-00468,Zansi Brahmbhatt,5188.07,Low
CUST-00035,Tamanna Sethi,4957.74,Low
CUST-00068,Devansh Parsa,4564.56,Low
CUST-00294,Madhavi Narayanan,4294.26,Low
CUST-00355,Zayan Chaudry,4198.08,Low
CUST-00144,Ekaja Venkatesh,4089.27,Low
CUST-00094,Saanvi Vig,3879.7,Low
CUST-00230,Tanvi Narayan,3697.41,Low
CUST-00199,Aarnav Sastry,3683.3,Low
CUST-00089,Zarna Mitra,3676.0,Low
CUST-00008,Warhi Bhatnagar,3645.01,Low
CUST-00470,Jagrati Raghavan,3578.3,Low
CUST-00305,Netra Karan,3289.31,Low
CUST-00142,Sai Vala,2291.64,Low
CUST-00042,Gaurangi Bhasin,2060.17,Low
CUST-00106,Rajata Balakrishnan,99.93,Low
CUST-00273,Yamini Handa,85.83,Low
CUST-00011,Wakeeta Choudhary,0.0,Low
CUST-00013,Ekani Bose,0.0,Low
CUST-00027,Ekta Arora,0.0,Low
CUST-00037,Chatresh Kohli,0.0,Low
CUST-00057,Yahvi Varkey,0.0,Low
CUST-00065,Ishita Bail,0.0,Low
CUST-00088,Ekantika Chacko,0.0,Low
CUST-00090,Gaurang Sagar,0.0,Low
CUST-00122,Nathan Swamy,0.0,Low
CUST-00130,Hritik Dugar,0.0,Low
CUST-00133,Vanya Ramachandran,0.0,Low
CUST-00137,Chaitanya Narayan,0.0,Low
CUST-00141,Warda Prakash,0.0,Low
CUST-00191,Falguni Lall,0.0,Low
CUST-00198,Bahadurjit Pandya,0.0,Low
CUST-00212,Parth Sur,0.0,Low
CUST-00232,Deepa Bajwa,0.0,Low
CUST-00263,Harish Seshadri,0.0,Low
CUST-00281,Manthan Rama,0.0,Low
CUST-00304,Tripti Kaur,0.0,Low
CUST-00308,Anvi Oza,0.0,Low
CUST-00311,Tanmayi Sathe,0.0,Low
CUST-00315,Nathan Bhatnagar,0.0,Low
CUST-00319,Krish Thakur,0.0,Low
CUST-00327,Aarini Goda,0.0,Low
CUST-00341,Aashi Gade,0.0,Low
CUST-00346,Mohammed Mander,0.0,Low
CUST-00357,Advaith Sen,0.0,Low
CUST-00366,Girik Srivastava,0.0,Low
CUST-00418,Anay Swamy,0.0,Low
CUST-00420,Vasana Dora,0.0,Low
CUST-00438,Isha Tak,0.0,Low
CUST-00460,Dayita Suri,0.0,Low
CUST-00475,Indira Morar,0.0,Low
CUST-00484,Mitali Seth,0.0,Low
CUST-00486,Faraj Nayak,0.0,Low
CUST-00495,Atharv Dar,0.0,Low
