customer_id,customer_name,customer_type,recency_days,frequency,monetary,final_segment,rfm_score
CUST-00026,Eiravati Vohra,PREMIUM,0.0,6,61538.07,Champion,13
CUST-00127,Aadhya Hora,VIP,0.0,6,59234.03,Champion,13
CUST-00226,Farhan Sami,VIP,0.0,5,58688.96,Champion,13
CUST-00441,Zinal Reddy,REGULAR,0.0,5,57711.18,Champion,13
CUST-00105,Shravya Palan,PREMIUM,135.0,4,55685.24,Developing,13
CUST-00390,Parth Pandit,VIP,0.0,3,55426.17,Loyal,13
CUST-00016,Lucky Deo,REGULAR,0.0,3,55141.95,Loyal,13
CUST-00329,Jagat Srinivas,VIP,13.0,4,54900.24,Developing,13
CUST-00177,Aadi Nigam,VIP,119.0,5,54021.33,Champion,13
CUST-00162,Garima Bhagat,VIP,0.0,5,54005.84,Champion,13
CUST-00300,Aryan Vohra,VIP,0.0,3,53315.35,Loyal,13
CUST-00239,Mason Ramakrishnan,REGULAR,134.0,4,53161.4,Developing,13
CUST-00040,Zayyan Krishna,REGULAR,0.0,3,52882.09,Loyal,13
CUST-00233,Karan Mandal,VIP,0.0,8,52315.68,Champion,13
CUST-00189,Ishita Dhaliwal,REGULAR,0.0,5,51046.28,Champion,13
CUST-00417,Megha Barad,VIP,51.0,4,48338.96,Developing,13
CUST-00081,Balvan Hegde,VIP,180.0,4,47463.49,Developing,13
CUST-00454,Ria Shanker,REGULAR,0.0,7,46413.4,Developing,13
CUST-00028,Tanvi Chander,VIP,168.0,4,46079.88,Developing,13
CUST-00045,Abha Dhingra,REGULAR,244.0,6,75798.2,Champion,12
CUST-00211,Devansh Das,REGULAR,255.0,4,66935.11,At Risk,12
CUST-00408,Hamsini Joshi,PREMIUM,212.0,5,66884.12,Champion,12
CUST-00219,Chasmum Khanna,PREMIUM,536.0,7,66869.8,Champion,12
CUST-00414,George Chaudhry,VIP,237.0,5,65578.08,Champion,12
CUST-00342,Lucky Menon,VIP,319.0,4,63406.93,At Risk,12
CUST-00118,Lila Mishra,VIP,47.0,3,61116.66,Developing,12
CUST-00333,Lekha Aggarwal,VIP,210.0,6,59252.98,Champion,12
CUST-00348,Waida Bahri,REGULAR,510.0,6,58237.61,Champion,12
CUST-00267,Yochana Ahluwalia,REGULAR,401.0,4,57788.25,At Risk,12
CUST-00492,Indrajit Setty,REGULAR,343.0,5,56381.99,Champion,12
CUST-00419,Abhiram Apte,PREMIUM,388.0,5,53162.1,Champion,12
CUST-00409,Krishna Dara,REGULAR,273.0,4,51187.38,At Risk,12
CUST-00188,Kai Karan,PREMIUM,239.0,5,50780.91,Champion,12
CUST-00289,Aadhya Sridhar,VIP,272.0,4,49852.89,At Risk,12
CUST-00323,Wazir Lal,VIP,156.0,3,49523.11,Developing,12
CUST-00436,Inaya Barad,VIP,546.0,4,49466.2,At Risk,12
CUST-00443,Champak Ganesan,REGULAR,348.0,5,48153.5,At Risk,12
CUST-00152,Abhimanyu Reddy,PREMIUM,377.0,4,47467.14,At Risk,12
CUST-00181,Aradhana Bala,REGULAR,624.0,6,45702.64,At Risk,12
CUST-00093,Mason Sarraf,REGULAR,0.0,6,45644.51,Developing,12
CUST-00070,Ekaraj Sathe,REGULAR,0.0,3,44736.51,Loyal,12
CUST-00449,Bakhshi Khanna,PREMIUM,0.0,3,43934.25,Loyal,12
CUST-00312,Vedhika Som,VIP,0.0,3,41206.05,Loyal,12
CUST-00111,Raagini Upadhyay,VIP,0.0,3,40829.59,Loyal,12
CUST-00244,Ridhi Mistry,VIP,0.0,4,40450.41,Loyal,12
CUST-00465,Henry Som,PREMIUM,0.0,3,40397.88,Loyal,12
CUST-00344,Gaurika Bhatia,PREMIUM,0.0,5,40146.11,Developing,12
CUST-00242,Geetika Keer,REGULAR,0.0,4,39988.52,Loyal,12
CUST-00352,Chanakya Rastogi,REGULAR,0.0,4,39968.92,Loyal,12
CUST-00025,Bachittar Ben,PREMIUM,0.0,4,38530.87,Loyal,12
CUST-00381,Azaan Sehgal,VIP,0.0,5,36848.27,Developing,12
CUST-00358,Raghav Kumar,PREMIUM,0.0,4,36544.41,Loyal,12
CUST-00282,Yatin Chandra,REGULAR,0.0,4,34739.92,Loyal,12
CUST-00153,Ekalinga Bala,PREMIUM,0.0,4,34303.56,Loyal,12
CUST-00411,Faras Bhalla,VIP,0.0,5,34290.63,Developing,12
CUST-00214,Yachana Aggarwal,REGULAR,0.0,4,33655.32,Loyal,12
CUST-00067,Abhiram Karpe,REGULAR,0.0,4,33613.22,Loyal,12
CUST-00169,Atharv Baria,REGULAR,0.0,4,31316.77,Loyal,12
CUST-00482,Gauri Parmer,REGULAR,126.0,5,30524.62,Developing,12
CUST-00459,Damyanti Som,PREMIUM,177.0,5,30404.43,Developing,12
CUST-00112,Logan Manne,PREMIUM,0.0,5,29940.85,Loyal,12
CUST-00467,Bimala Issac,PREMIUM,0.0,5,26443.91,Loyal,12
CUST-00280,Varenya Sabharwal,VIP,676.0,6,100300.41,Champion,11
CUST-00120,Sara Brar,PREMIUM,305.0,3,62468.04,At Risk,11
CUST-00279,Om Handa,VIP,344.0,3,58771.99,At Risk,11
CUST-00166,Anmol Sarkar,REGULAR,202.0,3,57266.72,At Risk,11
CUST-00278,Ekaja Chaudhary,VIP,255.0,3,56895.47,At Risk,11
CUST-00353,Wishi Mangal,PREMIUM,350.0,3,52495.62,At Risk,11
CUST-00100,Triveni Varma,VIP,667.0,5,51474.55,Champion,11
CUST-00184,Gaurangi Rau,PREMIUM,849.0,4,51380.26,At Risk,11
CUST-00128,Jairaj Pandey,VIP,514.0,3,51108.91,At Risk,11
CUST-00135,Neelima Andra,VIP,636.0,5,49288.69,At Risk,11
CUST-00182,Jeevika Mander,PREMIUM,1161.0,4,47343.68,At Risk,11
CUST-00064,Sai Lanka,VIP,343.0,3,47243.77,At Risk,11
CUST-00299,Warinder Suresh,VIP,1047.0,4,46409.19,At Risk,11
CUST-00255,Rushil Nagi,PREMIUM,59.0,3,45514.79,Developing,11
CUST-00048,Bhavna Srinivasan,PREMIUM,140.0,4,42994.1,Developing,11
CUST-00046,Siya Desai,VIP,90.0,3,41783.0,Developing,11
CUST-00217,Manthan Shere,VIP,170.0,4,41326.91,Developing,11
CUST-00395,Darika Zacharia,REGULAR,69.0,3,41288.68,Developing,11
CUST-00452,Sara Vasa,PREMIUM,189.0,3,40883.56,Developing,11
CUST-00494,Shravya Patil,PREMIUM,380.0,6,40007.11,At Risk,11
CUST-00500,Tarak Pall,VIP,109.0,4,38777.29,Developing,11
CUST-00033,Chatura Balay,PREMIUM,0.0,3,38154.6,Loyal,11
CUST-00247,Ayaan Dave,PREMIUM,535.0,5,36799.88,At Risk,11
CUST-00428,Harrison Kashyap,REGULAR,0.0,3,34629.91,Loyal,11
CUST-00306,Watika Sodhi,PREMIUM,0.0,3,34610.32,Loyal,11
CUST-00307,Megha Balan,PREMIUM,0.0,3,34592.59,Loyal,11
CUST-00258,Tanay Bansal,VIP,0.0,3,33869.09,Loyal,11
CUST-00373,Christopher Chad,REGULAR,281.0,5,32052.47,At Risk,11
CUST-00213,Ikbal Bedi,VIP,524.0,5,31666.38,At Risk,11
CUST-00138,Sai Dugal,VIP,0.0,3,31559.47,Loyal,11
CUST-00165,Praneel Shroff,REGULAR,86.0,4,30777.12,Developing,11
CUST-00190,Henry Lad,PREMIUM,0.0,3,30612.8,Loyal,11
CUST-00296,Warinder Shroff,PREMIUM,0.0,4,28356.91,Loyal,11
CUST-00362,Lucky Gokhale,PREMIUM,0.0,4,28293.26,Loyal,11
CUST-00375,Sarthak Ravi,PREMIUM,0.0,4,26273.38,Loyal,11
CUST-00071,Veer Sharaf,REGULAR,0.0,4,25114.67,Loyal,11
CUST-00399,Rachana Pal,PREMIUM,0.0,4,25027.87,Loyal,11
CUST-00392,Orinder Panchal,REGULAR,0.0,4,24134.0,Loyal,11
CUST-00061,Veda Padmanabhan,REGULAR,0.0,4,23192.81,Loyal,11
CUST-00203,Saanvi Bajwa,PREMIUM,62.0,5,23171.91,Developing,11
CUST-00099,Liam Joshi,PREMIUM,0.0,5,21901.25,Loyal,11
CUST-00297,Guneet Som,VIP,0.0,5,19568.23,Loyal,11
CUST-00054,Chandresh Kurian,PREMIUM,633.0,3,63661.65,At Risk,10
CUST-00194,Chakradev Samra,VIP,920.0,3,61190.44,At Risk,10
CUST-00272,Mitali Srinivasan,PREMIUM,1159.0,3,58649.16,At Risk,10
CUST-00325,Ati Madan,REGULAR,1222.0,3,49105.74,At Risk,10
CUST-00326,Jagat Pandey,PREMIUM,797.0,3,48689.13,At Risk,10
CUST-00159,Rishi Bains,PREMIUM,871.0,3,47878.14,At Risk,10
CUST-00489,Wazir Saha,VIP,971.0,3,46436.54,At Risk,10
CUST-00479,Ridhi Sibal,VIP,231.0,4,44794.89,At Risk,10
CUST-00095,Bhavini Kalla,PREMIUM,187.0,2,44202.2,Developing,10
CUST-00044,Yadavi Bahl,VIP,142.0,2,44012.65,Developing,10
CUST-00444,Jackson Batta,REGULAR,201.0,3,43516.79,At Risk,10
CUST-00439,Pahal Trivedi,PREMIUM,645.0,5,42723.88,At Risk,10
CUST-00209,Umang Shetty,VIP,352.0,3,41902.69,At Risk,10
CUST-00063,Yatin Bumb,REGULAR,381.0,4,41531.31,At Risk,10
CUST-00298,Baljiwan Chaudhuri,VIP,609.0,3,41063.35,At Risk,10
CUST-00069,Mitali Reddy,PREMIUM,494.0,4,40896.55,At Risk,10
CUST-00277,Dhruv Bose,PREMIUM,24.0,2,40285.79,Developing,10
CUST-00084,Dominic Dutt,PREMIUM,375.0,4,39595.89,At Risk,10
CUST-00221,Chanchal Bhat,VIP,92.0,3,38814.49,Developing,10
CUST-00398,Ucchal Kamdar,PREMIUM,702.0,5,38148.51,At Risk,10
CUST-00225,Mohini Apte,PREMIUM,15.0,2,37414.32,Developing,10
CUST-00038,Oliver Agate,REGULAR,285.0,4,35948.89,At Risk,10
CUST-00313,Ojas Seth,PREMIUM,55.0,3,35429.15,Developing,10
CUST-00195,Gaurav Narasimhan,REGULAR,77.0,3,34771.65,Developing,10
CUST-00186,Ansh Deo,PREMIUM,0.0,2,34229.5,Developing,10
CUST-00374,Mugdha Gaba,PREMIUM,151.0,3,33547.6,Developing,10
CUST-00234,Neha Purohit,REGULAR,980.0,5,31366.25,At Risk,10
CUST-00036,Aayush Maharaj,REGULAR,74.0,3,31078.11,Developing,10
CUST-00116,Pavani Swaminathan,PREMIUM,149.0,4,30056.39,Developing,10
CUST-00340,Charvi Srinivasan,PREMIUM,53.0,4,28648.78,Developing,10
CUST-00245,Rohan Krishnamurthy,VIP,181.0,4,27495.09,Developing,10
CUST-00291,Gautami Sodhi,PREMIUM,0.0,3,26386.14,Loyal,10
CUST-00336,Ishani Deshmukh,REGULAR,38.0,4,25595.54,Developing,10
CUST-00157,Irya Narayan,VIP,0.0,3,25112.93,Loyal,10
CUST-00349,Upma Amble,REGULAR,0.0,3,24744.89,Loyal,10
CUST-00382,Gavin Sanghvi,REGULAR,0.0,3,24150.48,Loyal,10
CUST-00216,Logan Murty,VIP,171.0,4,23948.15,Developing,10
CUST-00389,Qasim Sha,REGULAR,0.0,3,23689.01,Loyal,10
CUST-00421,Omkaar Khare,VIP,0.0,4,20435.02,Loyal,10
CUST-00173,Kabir Krishna,REGULAR,0.0,4,20289.01,Loyal,10
CUST-00292,Gunbir Mukhopadhyay,REGULAR,0.0,4,19464.88,Loyal,10
CUST-00039,Bhavna Ramaswamy,REGULAR,0.0,4,18320.27,Loyal,10
CUST-00110,Ronith Varma,PREMIUM,0.0,4,17023.77,Loyal,10
CUST-00240,Urvashi Anand,PREMIUM,0.0,4,14331.86,Loyal,10
CUST-00314,Kabir Bahri,REGULAR,0.0,5,9332.7,Loyal,10
CUST-00413,Vasatika Gara,PREMIUM,636.0,3,45325.38,At Risk,9
CUST-00060,Tanvi Wason,PREMIUM,854.0,3,44804.06,At Risk,9
CUST-00017,Leena Sampath,VIP,664.0,4,43850.02,At Risk,9
CUST-00129,Vanya Thaman,REGULAR,792.0,3,42263.44,At Risk,9
CUST-00426,Chaitanya Singhal,REGULAR,781.0,3,40962.75,At Risk,9
CUST-00174,Harita Sandal,PREMIUM,1264.0,3,40940.91,At Risk,9
CUST-00077,Jasmit Reddy,REGULAR,314.0,2,40552.42,At Risk,9
CUST-00005,Harrison Chada,REGULAR,265.0,3,40197.61,At Risk,9
CUST-00206,Gaurika Dhar,REGULAR,812.0,4,39671.69,At Risk,9
CUST-00145,Kalpit Mitra,VIP,598.0,2,39648.56,At Risk,9
CUST-00370,Daniel Ravel,VIP,347.0,2,38825.99,At Risk,9
CUST-00385,Eesha Kibe,VIP,223.0,3,36583.34,At Risk,9
CUST-00432,Nimrat Krishna,REGULAR,656.0,4,36174.31,At Risk,9
CUST-00270,Brinda Lad,PREMIUM,364.0,3,34242.71,At Risk,9
CUST-00052,Chakrika Gour,VIP,812.0,4,33988.02,At Risk,9
CUST-00163,Oni Gola,VIP,884.0,4,33959.42,At Risk,9
CUST-00004,Om Samra,VIP,626.0,4,33312.14,At Risk,9
CUST-00091,Niharika Bhardwaj,VIP,929.0,4,31617.2,At Risk,9
CUST-00365,Ayush Zacharia,VIP,478.0,3,30905.22,At Risk,9
CUST-00259,Oeshi Wali,VIP,0.0,1,28042.94,Developing,9
CUST-00328,Chakradev Madan,REGULAR,0.0,2,27850.28,Developing,9
CUST-00497,Harish Nazareth,REGULAR,479.0,4,26911.3,At Risk,9
CUST-00150,Megha Chaudhary,REGULAR,167.0,3,26807.51,Developing,9
CUST-00041,Pallavi Dayal,REGULAR,278.0,4,26682.24,At Risk,9
CUST-00372,Gautami Boase,REGULAR,324.0,4,26612.64,At Risk,9
CUST-00229,Fitan Sarkar,REGULAR,361.0,4,25791.46,At Risk,9
CUST-00249,Zashil Desai,VIP,385.0,4,25735.42,At Risk,9
CUST-00490,Oliver Chad,REGULAR,0.0,2,24298.48,Developing,9
CUST-00024,Harinakshi Khurana,VIP,141.0,3,24226.45,Developing,9
CUST-00423,Yagnesh Raghavan,PREMIUM,0.0,2,23378.8,Developing,9
CUST-00053,Teerth Narasimhan,REGULAR,178.0,3,22621.79,Developing,9
CUST-00019,Dakshesh Koshy,REGULAR,778.0,5,22595.61,At Risk,9
CUST-00252,Pratyush Sandhu,VIP,683.0,5,22073.38,At Risk,9
CUST-00435,Finn Dar,REGULAR,0.0,3,21541.71,Loyal,9
CUST-00223,Chakradev Karnik,PREMIUM,0.0,3,20607.23,Loyal,9
CUST-00021,Avni Tiwari,REGULAR,0.0,3,19906.24,Loyal,9
CUST-00196,Krishna Sibal,PREMIUM,0.0,3,19130.92,Loyal,9
CUST-00049,Vedhika Randhawa,PREMIUM,0.0,3,18688.22,Loyal,9
CUST-00167,Yahvi Suri,REGULAR,0.0,3,18053.6,Loyal,9
CUST-00256,Vinaya Sharma,PREMIUM,0.0,3,16469.28,Loyal,9
CUST-00117,Jack Chandran,PREMIUM,0.0,3,16411.05,Loyal,9
CUST-00062,Unnati Natt,PREMIUM,107.0,4,15672.06,Developing,9
CUST-00474,Nilima Lanka,PREMIUM,0.0,3,14940.71,Loyal,9
CUST-00410,Niharika Dutt,PREMIUM,0.0,3,12113.17,Loyal,9
CUST-00126,Isha Sastry,REGULAR,1792.0,2,52938.28,At Risk,8
CUST-00430,Faraj Saraf,PREMIUM,1271.0,2,42617.22,At Risk,8
CUST-00412,Vedika Malhotra,PREMIUM,1119.0,2,41722.31,At Risk,8
CUST-00030,Champak Memon,REGULAR,1275.0,2,41019.61,At Risk,8
CUST-00360,Tanvi Bath,PREMIUM,848.0,3,35621.21,At Risk,8
CUST-00155,Balendra Roy,VIP,434.0,2,33998.92,At Risk,8
CUST-00485,Caleb Trivedi,VIP,1104.0,3,33249.75,At Risk,8
CUST-00113,Ati Sundaram,REGULAR,918.0,3,30724.11,At Risk,8
CUST-00218,Ekavir Mukherjee,REGULAR,466.0,3,30096.34,At Risk,8
CUST-00050,Xalak Khosla,REGULAR,148.0,2,29680.02,Developing,8
CUST-00457,Watika Kota,VIP,459.0,3,28874.87,At Risk,8
CUST-00488,Kai Johal,VIP,26.0,2,28850.91,Developing,8
CUST-00180,Ekaraj Tripathi,PREMIUM,130.0,2,28707.0,Developing,8
CUST-00376,Jairaj Goel,REGULAR,934.0,4,28519.23,At Risk,8
CUST-00092,Falak Gopal,REGULAR,485.0,3,28287.19,At Risk,8
CUST-00014,Aarna Prashad,PREMIUM,4.0,2,28244.67,Developing,8
CUST-00303,Dev Ganguly,PREMIUM,223.0,3,28081.49,At Risk,8
CUST-00012,Mohammed Sankar,REGULAR,228.0,3,27864.72,At Risk,8
CUST-00078,Hiral Contractor,VIP,551.0,3,27818.14,At Risk,8
CUST-00404,Pushti Raghavan,VIP,587.0,3,27775.71,At Risk,8
CUST-00254,Fitan Khanna,VIP,838.0,4,27739.83,At Risk,8
CUST-00237,Dalaja Parsa,VIP,88.0,2,27571.57,Developing,8
CUST-00338,Charan Sidhu,REGULAR,220.0,3,27475.57,At Risk,8
CUST-00473,Anita Solanki,PREMIUM,556.0,3,26310.07,At Risk,8
CUST-00158,Orinder Purohit,VIP,574.0,3,25487.03,At Risk,8
CUST-00477,Omaja Dugar,REGULAR,658.0,4,24873.15,At Risk,8
CUST-00154,Shaurya Raja,REGULAR,308.0,3,24816.67,At Risk,8
CUST-00480,Radhika Hayre,REGULAR,678.0,4,24344.67,At Risk,8
CUST-00472,Qasim Shanker,REGULAR,170.0,2,22587.32,Developing,8
CUST-00257,Ayushman Nigam,REGULAR,616.0,3,22239.45,At Risk,8
CUST-00403,Leena Shetty,PREMIUM,632.0,4,22117.1,At Risk,8
CUST-00388,Balendra Sem,REGULAR,413.0,3,21971.91,At Risk,8
CUST-00086,Hiral Divan,PREMIUM,0.0,2,18308.96,Developing,8
CUST-00248,Sai Dube,PREMIUM,0.0,2,17452.59,Developing,8
CUST-00147,Tripti Dayal,PREMIUM,0.0,2,17196.53,Developing,8
CUST-00109,Yagnesh Nigam,REGULAR,194.0,3,16385.84,Developing,8
CUST-00379,Urvi Kala,VIP,302.0,4,15845.12,At Risk,8
CUST-00271,Kashish Mittal,PREMIUM,257.0,4,15177.78,At Risk,8
CUST-00322,Jhalak Pandey,REGULAR,17.0,3,14867.33,Developing,8
CUST-00429,Janya Doctor,PREMIUM,0.0,2,14779.92,Developing,8
CUST-00448,Yuvraj Sethi,VIP,0.0,2,14367.86,Developing,8
CUST-00321,Avi Dewan,REGULAR,0.0,2,13660.01,Developing,8
CUST-00168,Aarav Bose,VIP,0.0,2,12787.52,Developing,8
CUST-00290,Hardik Suresh,VIP,8.0,3,12032.66,Developing,8
CUST-00076,Libni Pingle,REGULAR,0.0,2,10621.71,Developing,8
CUST-00175,Ubika Badami,REGULAR,0.0,3,8362.93,Loyal,8
CUST-00446,Theodore Dara,PREMIUM,0.0,3,6760.44,Loyal,8
CUST-00136,Omkaar More,PREMIUM,1362.0,2,43802.91,At Risk,7
CUST-00347,Faras Sampath,VIP,1699.0,2,40247.99,At Risk,7
CUST-00215,Hemani Gokhale,REGULAR,829.0,2,37099.32,At Risk,7
CUST-00415,Triya Krishna,PREMIUM,1803.0,3,36625.23,At Risk,7
CUST-00171,Raagini Borah,PREMIUM,1330.0,3,33366.08,At Risk,7
CUST-00228,Harinakshi Tailor,PREMIUM,1223.0,2,31824.08,At Risk,7
CUST-00059,Lipika Varty,VIP,1040.0,1,31417.67,At Risk,7
CUST-00396,Samarth Johal,REGULAR,933.0,3,29469.69,At Risk,7
CUST-00425,Anamika Uppal,PREMIUM,714.0,3,29250.73,At Risk,7
CUST-00458,Onveer Banerjee,VIP,1395.0,4,27697.22,At Risk,7
CUST-00080,Dominic Sankaran,REGULAR,604.0,2,27578.93,At Risk,7
CUST-00125,Rachita Gola,PREMIUM,1176.0,3,27551.27,At Risk,7
CUST-00386,Netra Hayre,VIP,767.0,3,24925.54,At Risk,7
CUST-00107,Ronith Nair,VIP,492.0,2,24494.59,At Risk,7
CUST-00320,Umang Bhardwaj,PREMIUM,454.0,2,24431.77,At Risk,7
CUST-00185,Jeet Deo,PREMIUM,385.0,2,23901.7,At Risk,7
CUST-00445,Oeshi Nori,VIP,167.0,1,23465.06,Developing,7
CUST-00085,Divya Chhabra,VIP,380.0,2,23426.75,At Risk,7
CUST-00164,Ekansh Narayan,REGULAR,633.0,3,22202.46,At Risk,7
CUST-00339,Luke Raj,VIP,532.0,2,21952.74,At Risk,7
CUST-00302,Faqid Bassi,PREMIUM,199.0,3,20493.81,At Risk,7
CUST-00440,Bahadurjit Salvi,PREMIUM,278.0,3,20373.18,At Risk,7
CUST-00478,Alka Manne,REGULAR,223.0,3,19846.83,At Risk,7
CUST-00402,Lila Basu,PREMIUM,76.0,2,19538.98,Developing,7
CUST-00243,Vasudha Rai,VIP,798.0,4,16802.43,At Risk,7
CUST-00471,Tristan Borde,VIP,540.0,3,15889.88,At Risk,7
CUST-00317,Saksham Khosla,VIP,441.0,3,15418.64,At Risk,7
CUST-00002,Pallavi Som,VIP,237.0,3,14546.14,At Risk,7
CUST-00178,Aadi Bhat,PREMIUM,916.0,4,14070.08,At Risk,7
CUST-00082,Ubika Nagar,VIP,601.0,3,13173.95,At Risk,7
CUST-00096,Sneha Pingle,REGULAR,356.0,3,12789.7,At Risk,7
CUST-00161,Varsha Setty,VIP,0.0,1,10614.03,Developing,7
CUST-00487,Nitara Gandhi,REGULAR,0.0,1,10426.98,Developing,7
CUST-00274,Anirudh Warrior,REGULAR,66.0,3,7408.41,Developing,7
CUST-00283,Vedant Bahri,PREMIUM,0.0,2,6056.44,Developing,7
CUST-00335,Gauri Deo,VIP,0.0,2,5722.67,Developing,7
CUST-00355,Zayan Chaudry,REGULAR,0.0,2,4198.08,Developing,7
CUST-00144,Ekaja Venkatesh,PREMIUM,0.0,2,4089.27,Developing,7
CUST-00094,Saanvi Vig,VIP,0.0,2,3879.7,Developing,7
CUST-00230,Tanvi Narayan,VIP,0.0,2,3697.41,Developing,7
CUST-00074,Tanvi Peri,REGULAR,1829.0,2,35802.47,At Risk,6
CUST-00075,Advik Konda,REGULAR,1312.0,1,34649.36,At Risk,6
CUST-00022,Raagini Bahri,PREMIUM,1398.0,2,34095.72,At Risk,6
CUST-00269,Ikshita Sharma,PREMIUM,847.0,2,30345.85,At Risk,6
CUST-00020,Mitali Bhargava,VIP,1472.0,3,28521.35,At Risk,6
CUST-00393,Vamakshi Gupta,REGULAR,1335.0,3,28263.57,At Risk,6
CUST-00364,Urmi Wali,REGULAR,1186.0,2,27848.22,At Risk,6
CUST-00380,Shravya Jaggi,PREMIUM,897.0,2,26152.95,At Risk,6
CUST-00236,Neelima Bhardwaj,REGULAR,788.0,2,26016.34,At Risk,6
CUST-00222,Utkarsh Bhasin,VIP,674.0,2,25175.91,At Risk,6
CUST-00318,Anusha Kalla,VIP,1038.0,2,25174.88,At Risk,6
CUST-00183,Timothy Nigam,VIP,1210.0,2,24119.81,At Risk,6
CUST-00170,Tanay Tripathi,REGULAR,1745.0,3,24101.96,At Risk,6
CUST-00466,Omaja Shukla,VIP,1290.0,3,23919.99,At Risk,6
CUST-00224,Urishilla Sibal,REGULAR,655.0,2,23752.35,At Risk,6
CUST-00073,Wriddhish Guha,VIP,1411.0,3,23353.48,At Risk,6
CUST-00179,Shaurya Sur,VIP,540.0,1,22436.65,At Risk,6
CUST-00006,Victor Vora,VIP,1092.0,2,22431.9,At Risk,6
CUST-00391,Samarth Om,REGULAR,1452.0,3,22099.1,At Risk,6
CUST-00397,Prisha Mitra,REGULAR,1019.0,2,21994.35,At Risk,6
CUST-00275,Laksh Suresh,VIP,779.0,3,21599.64,At Risk,6
CUST-00121,Yash Dhaliwal,REGULAR,479.0,2,20902.39,At Risk,6
CUST-00498,Nachiket Johal,PREMIUM,430.0,2,19043.68,At Risk,6
CUST-00496,Kai Suresh,VIP,444.0,2,15441.53,At Risk,6
CUST-00087,Anusha Shukla,VIP,475.0,2,14790.61,At Risk,6
CUST-00083,Atharv Tailor,VIP,518.0,2,14227.12,At Risk,6
CUST-00176,Teerth Hari,VIP,215.0,2,12718.04,At Risk,6
CUST-00332,Chanakya Kanda,PREMIUM,653.0,3,11888.3,At Risk,6
CUST-00407,Kamya Loke,PREMIUM,841.0,3,10999.33,At Risk,6
CUST-00115,Barkha Ahuja,PREMIUM,552.0,2,10589.38,At Risk,6
CUST-00483,Victor Sheth,VIP,253.0,2,10383.7,At Risk,6
CUST-00047,Varsha Sastry,VIP,194.0,2,10273.82,Developing,6
CUST-00132,Leena Ratti,REGULAR,463.0,3,9225.06,At Risk,6
CUST-00207,Suhani Chowdhury,VIP,176.0,2,7715.67,Developing,6
CUST-00433,Balveer Chahal,REGULAR,131.0,2,7366.79,Developing,6
