customer_id,customer_name,orders,lifetime_value
CUST-00040,Zayyan Krishna,3,52882.09
CUST-00353,Wishi Mangal,3,52495.62
CUST-00233,Karan Mandal,8,52315.68
CUST-00100,Triveni Varma,5,51474.55
CUST-00184,Gaurangi Rau,4,51380.26
CUST-00409,Krishna Dara,4,51187.38
CUST-00128,Jairaj Pandey,3,51108.91
CUST-00189,Ishita Dhaliwal,5,51046.28
CUST-00354,Reyansh Tripathi,4,50795.83
CUST-00188,Kai Karan,5,50780.91
CUST-00289,Aadhya Sridhar,4,49852.89
CUST-00323,Wazir Lal,3,49523.11
CUST-00436,Inaya Barad,4,49466.2
CUST-00135,Neelima Andra,5,49288.69
CUST-00325,Ati Madan,3,49105.74
CUST-00437,Girindra Rao,4,49073.6
CUST-00326,Jagat Pandey,3,48689.13
CUST-00450,Advik Singhal,4,48589.17
CUST-00417,Megha Barad,4,48338.96
CUST-00443,Champak Ganesan,5,48153.5
CUST-00159,Rishi Bains,3,47878.14
CUST-00152,Abhimanyu Reddy,4,47467.14
CUST-00081,Balvan Hegde,4,47463.49
CUST-00182,Jeevika Mander,4,47343.68
CUST-00064,Sai Lanka,3,47243.77
CUST-00489,Wazir Saha,3,46436.54
CUST-00454,Ria Shanker,7,46413.4
CUST-00299,Warinder Suresh,4,46409.19
CUST-00028,Tanvi Chander,4,46079.88
CUST-00181,Aradhana Bala,6,45702.64
CUST-00093,Mason Sarraf,6,45644.51
CUST-00255,Rushil Nagi,3,45514.79
CUST-00413,Vasatika Gara,3,45325.38
CUST-00060,Tanvi Wason,3,44804.06
CUST-00479,Ridhi Sibal,4,44794.89
CUST-00070,Ekaraj Sathe,3,44736.51
CUST-00095,Bhavini Kalla,2,44202.2
CUST-00044,Yadavi Bahl,2,44012.65
CUST-00449,Bakhshi Khanna,3,43934.25
CUST-00017,Leena Sampath,4,43850.02
CUST-00136,Omkaar More,2,43802.91
CUST-00444,Jackson Batta,3,43516.79
CUST-00048,Bhavna Srinivasan,4,42994.1
CUST-00439,Pahal Trivedi,5,42723.88
CUST-00430,Faraj Saraf,2,42617.22
CUST-00129,Vanya Thaman,3,42263.44
CUST-00209,Umang Shetty,3,41902.69
CUST-00046,Siya Desai,3,41783.0
CUST-00412,Vedika Malhotra,2,41722.31
CUST-00063,Yatin Bumb,4,41531.31
CUST-00217,Manthan Shere,4,41326.91
CUST-00395,Darika Zacharia,3,41288.68
CUST-00312,Vedhika Som,3,41206.05
CUST-00298,Baljiwan Chaudhuri,3,41063.35
CUST-00030,Champak Memon,2,41019.61
CUST-00426,Chaitanya Singhal,3,40962.75
CUST-00174,Harita Sandal,3,40940.91
CUST-00069,Mitali Reddy,4,40896.55
CUST-00452,Sara Vasa,3,40883.56
CUST-00111,Raagini Upadhyay,3,40829.59
CUST-00077,Jasmit Reddy,2,40552.42
CUST-00244,Ridhi Mistry,4,40450.41
CUST-00465,Henry Som,3,40397.88
CUST-00277,Dhruv Bose,2,40285.79
CUST-00347,Faras Sampath,2,40247.99
CUST-00005,Harrison Chada,3,40197.61
CUST-00344,Gaurika Bhatia,5,40146.11
CUST-00494,Shravya Patil,6,40007.11
CUST-00242,Geetika Keer,4,39988.52
CUST-00352,Chanakya Rastogi,4,39968.92
CUST-00206,Gaurika Dhar,4,39671.69
CUST-00145,Kalpit Mitra,2,39648.56
CUST-00084,Dominic Dutt,4,39595.89
CUST-00370,Daniel Ravel,2,38825.99
CUST-00221,Chanchal Bhat,3,38814.49
CUST-00500,Tarak Pall,4,38777.29
CUST-00025,Bachittar Ben,4,38530.87
CUST-00033,Chatura Balay,3,38154.6
CUST-00398,Ucchal Kamdar,5,38148.51
CUST-00225,Mohini Apte,2,37414.32
CUST-00215,Hemani Gokhale,2,37099.32
CUST-00381,Azaan Sehgal,5,36848.27
CUST-00247,Ayaan Dave,5,36799.88
CUST-00415,Triya Krishna,3,36625.23
CUST-00385,Eesha Kibe,3,36583.34
CUST-00358,Raghav Kumar,4,36544.41
CUST-00432,Nimrat Krishna,4,36174.31
CUST-00038,Oliver Agate,4,35948.89
CUST-00074,Tanvi Peri,2,35802.47
CUST-00360,Tanvi Bath,3,35621.21
CUST-00313,Ojas Seth,3,35429.15
CUST-00195,Gaurav Narasimhan,3,34771.65
CUST-00282,Yatin Chandra,4,34739.92
CUST-00075,Advik Konda,1,34649.36
CUST-00428,Harrison Kashyap,3,34629.91
CUST-00306,Watika Sodhi,3,34610.32
CUST-00307,Megha Balan,3,34592.59
CUST-00153,Ekalinga Bala,4,34303.56
CUST-00411,Faras Bhalla,5,34290.63
CUST-00270,Brinda Lad,3,34242.71
CUST-00186,Ansh Deo,2,34229.5
CUST-00022,Raagini Bahri,2,34095.72
CUST-00155,Balendra Roy,2,33998.92
CUST-00052,Chakrika Gour,4,33988.02
CUST-00163,Oni Gola,4,33959.42
CUST-00258,Tanay Bansal,3,33869.09
CUST-00214,Yachana Aggarwal,4,33655.32
CUST-00067,Abhiram Karpe,4,33613.22
CUST-00374,Mugdha Gaba,3,33547.6
CUST-00171,Raagini Borah,3,33366.08
CUST-00004,Om Samra,4,33312.14
CUST-00485,Caleb Trivedi,3,33249.75
CUST-00373,Christopher Chad,5,32052.47
CUST-00228,Harinakshi Tailor,2,31824.08
CUST-00213,Ikbal Bedi,5,31666.38
CUST-00091,Niharika Bhardwaj,4,31617.2
CUST-00138,Sai Dugal,3,31559.47
CUST-00059,Lipika Varty,1,31417.67
CUST-00234,Neha Purohit,5,31366.25
CUST-00169,Atharv Baria,4,31316.77
CUST-00036,Aayush Maharaj,3,31078.11
CUST-00365,Ayush Zacharia,3,30905.22
CUST-00165,Praneel Shroff,4,30777.12
CUST-00113,Ati Sundaram,3,30724.11
CUST-00190,Henry Lad,3,30612.8
CUST-00482,Gauri Parmer,5,30524.62
CUST-00459,Damyanti Som,5,30404.43
CUST-00269,Ikshita Sharma,2,30345.85
CUST-00218,Ekavir Mukherjee,3,30096.34
CUST-00116,Pavani Swaminathan,4,30056.39
CUST-00112,Logan Manne,5,29940.85
CUST-00050,Xalak Khosla,2,29680.02
CUST-00396,Samarth Johal,3,29469.69
CUST-00425,Anamika Uppal,3,29250.73
CUST-00284,Ekaraj Sibal,2,29129.35
CUST-00457,Watika Kota,3,28874.87
CUST-00160,Owen Upadhyay,2,28863.97
CUST-00488,Kai Johal,2,28850.91
CUST-00180,Ekaraj Tripathi,2,28707.0
CUST-00340,Charvi Srinivasan,4,28648.78
CUST-00020,Mitali Bhargava,3,28521.35
CUST-00376,Jairaj Goel,4,28519.23
CUST-00296,Warinder Shroff,4,28356.91
CUST-00362,Lucky Gokhale,4,28293.26
CUST-00092,Falak Gopal,3,28287.19
CUST-00393,Vamakshi Gupta,3,28263.57
CUST-00014,Aarna Prashad,2,28244.67
CUST-00303,Dev Ganguly,3,28081.49
CUST-00259,Oeshi Wali,1,28042.94
CUST-00387,Sai Dube,2,27896.16
CUST-00012,Mohammed Sankar,3,27864.72
CUST-00328,Chakradev Madan,2,27850.28
CUST-00364,Urmi Wali,2,27848.22
CUST-00078,Hiral Contractor,3,27818.14
CUST-00404,Pushti Raghavan,3,27775.71
CUST-00254,Fitan Khanna,4,27739.83
CUST-00368,Yochana Kari,2,27721.04
CUST-00458,Onveer Banerjee,4,27697.22
CUST-00276,Vasana Nayak,1,27584.28
CUST-00080,Dominic Sankaran,2,27578.93
CUST-00237,Dalaja Parsa,2,27571.57
CUST-00125,Rachita Gola,3,27551.27
CUST-00245,Rohan Krishnamurthy,4,27495.09
CUST-00338,Charan Sidhu,3,27475.57
CUST-00260,Jhalak Hans,1,27393.99
CUST-00497,Harish Nazareth,4,26911.3
CUST-00150,Megha Chaudhary,3,26807.51
CUST-00041,Pallavi Dayal,4,26682.24
CUST-00372,Gautami Boase,4,26612.64
CUST-00467,Bimala Issac,5,26443.91
CUST-00291,Gautami Sodhi,3,26386.14
CUST-00473,Anita Solanki,3,26310.07
CUST-00375,Sarthak Ravi,4,26273.38
CUST-00380,Shravya Jaggi,2,26152.95
CUST-00236,Neelima Bhardwaj,2,26016.34
CUST-00229,Fitan Sarkar,4,25791.46
CUST-00249,Zashil Desai,4,25735.42
CUST-00336,Ishani Deshmukh,4,25595.54
CUST-00158,Orinder Purohit,3,25487.03
CUST-00222,Utkarsh Bhasin,2,25175.91
CUST-00318,Anusha Kalla,2,25174.88
CUST-00071,Veer Sharaf,4,25114.67
CUST-00157,Irya Narayan,3,25112.93
CUST-00399,Rachana Pal,4,25027.87
CUST-00386,Netra Hayre,3,24925.54
CUST-00477,Omaja Dugar,4,24873.15
CUST-00154,Shaurya Raja,3,24816.67
CUST-00210,Warda Yadav,1,24776.32
CUST-00349,Upma Amble,3,24744.89
CUST-00107,Ronith Nair,2,24494.59
CUST-00320,Umang Bhardwaj,2,24431.77
CUST-00480,Radhika Hayre,4,24344.67
CUST-00490,Oliver Chad,2,24298.48
CUST-00024,Harinakshi Khurana,3,24226.45
CUST-00382,Gavin Sanghvi,3,24150.48
CUST-00392,Orinder Panchal,4,24134.0
CUST-00183,Timothy Nigam,2,24119.81
CUST-00170,Tanay Tripathi,3,24101.96
CUST-00216,Logan Murty,4,23948.15
CUST-00466,Omaja Shukla,3,23919.99
CUST-00185,Jeet Deo,2,23901.7
CUST-00253,Harini Dhar,1,23775.65
CUST-00224,Urishilla Sibal,2,23752.35
CUST-00389,Qasim Sha,3,23689.01
CUST-00104,Jacob Sastry,1,23484.05
CUST-00445,Oeshi Nori,1,23465.06
CUST-00085,Divya Chhabra,2,23426.75
CUST-00423,Yagnesh Raghavan,2,23378.8
CUST-00073,Wriddhish Guha,3,23353.48
CUST-00061,Veda Padmanabhan,4,23192.81
CUST-00203,Saanvi Bajwa,5,23171.91
CUST-00053,Teerth Narasimhan,3,22621.79
CUST-00019,Dakshesh Koshy,5,22595.61
CUST-00472,Qasim Shanker,2,22587.32
CUST-00179,Shaurya Sur,1,22436.65
CUST-00006,Victor Vora,2,22431.9
CUST-00257,Ayushman Nigam,3,22239.45
CUST-00164,Ekansh Narayan,3,22202.46
CUST-00403,Leena Shetty,4,22117.1
CUST-00391,Samarth Om,3,22099.1
CUST-00252,Pratyush Sandhu,5,22073.38
CUST-00397,Prisha Mitra,2,21994.35
CUST-00388,Balendra Sem,3,21971.91
CUST-00231,Charles Soni,2,21956.88
CUST-00339,Luke Raj,2,21952.74
CUST-00099,Liam Joshi,5,21901.25
CUST-00275,Laksh Suresh,3,21599.64
CUST-00435,Finn Dar,3,21541.71
CUST-00464,Viraj Balakrishnan,2,21016.38
CUST-00121,Yash Dhaliwal,2,20902.39
CUST-00463,Dominic Rajan,2,20869.13
CUST-00223,Chakradev Karnik,3,20607.23
CUST-00140,Aayush Sodhi,2,20539.42
CUST-00302,Faqid Bassi,3,20493.81
CUST-00421,Omkaar Khare,4,20435.02
CUST-00440,Bahadurjit Salvi,3,20373.18
CUST-00205,Siddharth Varkey,2,20354.9
CUST-00173,Kabir Krishna,4,20289.01
CUST-00021,Avni Tiwari,3,19906.24
CUST-00478,Alka Manne,3,19846.83
CUST-00297,Guneet Som,5,19568.23
CUST-00402,Lila Basu,2,19538.98
CUST-00292,Gunbir Mukhopadhyay,4,19464.88
CUST-00295,Arin Varty,1,19324.39
CUST-00196,Krishna Sibal,3,19130.92
CUST-00498,Nachiket Johal,2,19043.68
CUST-00055,Vyanjana Oommen,2,18981.59
CUST-00108,Avni Nayak,1,18901.26
CUST-00049,Vedhika Randhawa,3,18688.22
CUST-00039,Bhavna Ramaswamy,4,18320.27
CUST-00086,Hiral Divan,2,18308.96
CUST-00167,Yahvi Suri,3,18053.6
CUST-00424,Pranav Pandya,2,17822.48
CUST-00248,Sai Dube,2,17452.59
CUST-00147,Tripti Dayal,2,17196.53
CUST-00377,David Dugal,2,17189.16
CUST-00356,Anvi Ben,1,17100.39
CUST-00110,Ronith Varma,4,17023.77
CUST-00243,Vasudha Rai,4,16802.43
CUST-00442,Xavier Gulati,2,16695.6
CUST-00220,Falan Kadakia,3,16610.54
CUST-00072,Bimala Bains,2,16545.6
CUST-00256,Vinaya Sharma,3,16469.28
CUST-00117,Jack Chandran,3,16411.05
CUST-00109,Yagnesh Nigam,3,16385.84
CUST-00394,Nachiket Sankaran,2,16028.06
CUST-00197,Manthan Balan,1,15973.78
CUST-00023,Devika Sarin,1,15971.03
CUST-00471,Tristan Borde,3,15889.88
CUST-00235,Amruta Viswanathan,1,15884.8
CUST-00379,Urvi Kala,4,15845.12
CUST-00062,Unnati Natt,4,15672.06
CUST-00103,Nachiket Balan,2,15508.34
CUST-00496,Kai Suresh,2,15441.53
CUST-00148,Vivaan Mital,2,15436.02
CUST-00317,Saksham Khosla,3,15418.64
CUST-00271,Kashish Mittal,4,15177.78
CUST-00018,Aarav Vyas,2,15108.65
CUST-00474,Nilima Lanka,3,14940.71
CUST-00322,Jhalak Pandey,3,14867.33
CUST-00087,Anusha Shukla,2,14790.61
CUST-00429,Janya Doctor,2,14779.92
CUST-00200,Chaman De,1,14739.04
CUST-00002,Pallavi Som,3,14546.14
CUST-00448,Yuvraj Sethi,2,14367.86
CUST-00043,Ishaan Ramachandran,2,14349.25
CUST-00240,Urvashi Anand,4,14331.86
CUST-00083,Atharv Tailor,2,14227.12
CUST-00178,Aadi Bhat,4,14070.08
CUST-00321,Avi Dewan,2,13660.01
CUST-00250,Upma Raj,1,13575.13
CUST-00082,Ubika Nagar,3,13173.95
CUST-00114,Matthew Bhakta,1,13148.67
CUST-00456,Yashica Ramakrishnan,1,12967.01
CUST-00096,Sneha Pingle,3,12789.7
CUST-00168,Aarav Bose,2,12787.52
CUST-00208,Hritik Dasgupta,1,12770.91
CUST-00286,Waida Apte,2,12721.18
CUST-00176,Teerth Hari,2,12718.04
CUST-00098,Wyatt Dubey,1,12579.91
CUST-00003,Caleb Loyal,1,12579.26
CUST-00285,Bishakha Bal,1,12163.21
CUST-00410,Niharika Dutt,3,12113.17
CUST-00290,Hardik Suresh,3,12032.66
CUST-00131,Laban Wadhwa,2,11948.68
CUST-00332,Chanakya Kanda,3,11888.3
CUST-00056,Fiyaz Nagarajan,1,11874.5
CUST-00461,Tanvi Pathak,2,11724.97
CUST-00491,Maya Wali,1,11582.66
CUST-00345,Ria Natt,2,11552.05
CUST-00383,Lajita Pandey,1,11195.52
CUST-00202,Abdul Murty,2,11149.48
CUST-00310,Varsha Devan,3,11128.25
CUST-00407,Kamya Loke,3,10999.33
CUST-00337,Aishani Gopal,1,10929.75
CUST-00324,Upasna Ray,1,10926.74
CUST-00422,Omkaar Bhatnagar,1,10713.98
CUST-00076,Libni Pingle,2,10621.71
CUST-00161,Varsha Setty,1,10614.03
CUST-00115,Barkha Ahuja,2,10589.38
CUST-00146,Reva Prabhu,2,10519.27
CUST-00487,Nitara Gandhi,1,10426.98
CUST-00483,Victor Sheth,2,10383.7
CUST-00047,Varsha Sastry,2,10273.82
CUST-00007,Chameli Bath,3,10229.93
CUST-00010,Brinda Raman,1,10018.58
CUST-00262,Chameli Chahal,2,9531.15
CUST-00462,Bishakha Gara,2,9350.2
CUST-00314,Kabir Bahri,5,9332.7
CUST-00132,Leena Ratti,3,9225.06
CUST-00204,Zansi Gala,1,9194.23
CUST-00031,Bhavya Oommen,1,8426.37
CUST-00175,Ubika Badami,3,8362.93
CUST-00469,Balendra Rajagopal,1,8119.7
CUST-00032,Ekanta Bhagat,1,7779.43
CUST-00207,Suhani Chowdhury,2,7715.67
CUST-00134,Oscar Yogi,1,7699.65
CUST-00238,Avni Suresh,2,7491.55
CUST-00274,Anirudh Warrior,3,7408.41
CUST-00433,Balveer Chahal,2,7366.79
CUST-00123,Panini Bath,2,7346.92
CUST-00455,Tanay Lata,2,7302.65
CUST-00268,Krishna Patla,1,7295.29
CUST-00265,Om Amble,2,7017.88
CUST-00288,Kevin Ratti,1,6991.68
CUST-00406,Gautami Dada,1,6983.6
CUST-00193,Anirudh Rege,1,6976.85
CUST-00034,Pratyush Sahota,2,6787.27
CUST-00446,Theodore Dara,3,6760.44
CUST-00343,Chanakya Chakraborty,2,6664.28
CUST-00266,Ekavir Bassi,1,6587.15
CUST-00371,Rayaan Golla,1,6548.7
CUST-00187,Arunima Sagar,1,6482.28
CUST-00416,Nicholas Chana,1,6481.71
CUST-00102,Vrishti Natarajan,2,6129.16
CUST-00453,Tara Manne,1,6119.78
CUST-00283,Vedant Bahri,2,6056.44
CUST-00331,Gaurang Pal,1,5968.05
CUST-00335,Gauri Deo,2,5722.67
CUST-00246,Kiaan Sharaf,1,5621.18
CUST-00316,Elijah Varghese,1,5584.79
CUST-00287,Henry Ramaswamy,1,5532.32
CUST-00001,Theodore Arya,1,5469.67
CUST-00330,Indrajit Bhatnagar,2,5448.46
CUST-00400,Faras Parmar,3,5446.92
CUST-00476,Aayush Borra,1,5411.44
CUST-00378,Fitan Khalsa,1,5337.64
CUST-00468,Zansi Brahmbhatt,1,5188.07
CUST-00035,Tamanna Sethi,1,4957.74
CUST-00068,Devansh Parsa,1,4564.56
CUST-00294,Madhavi Narayanan,1,4294.26
CUST-00355,Zayan Chaudry,2,4198.08
CUST-00144,Ekaja Venkatesh,2,4089.27
CUST-00094,Saanvi Vig,2,3879.7
CUST-00230,Tanvi Narayan,2,3697.41
CUST-00199,Aarnav Sastry,1,3683.3
CUST-00089,Zarna Mitra,1,3676.0
CUST-00008,Warhi Bhatnagar,1,3645.01
CUST-00470,Jagrati Raghavan,2,3578.3
CUST-00305,Netra Karan,2,3289.31
CUST-00142,Sai Vala,1,2291.64
CUST-00042,Gaurangi Bhasin,2,2060.17
CUST-00106,Rajata Balakrishnan,1,99.93
CUST-00273,Yamini Handa,1,85.83
CUST-00011,Wakeeta Choudhary,0,0.0
CUST-00013,Ekani Bose,0,0.0
CUST-00027,Ekta Arora,0,0.0
CUST-00037,Chatresh Kohli,0,0.0
CUST-00057,Yahvi Varkey,0,0.0
CUST-00065,Ishita Bail,1,0.0
CUST-00088,Ekantika Chacko,0,0.0
CUST-00090,Gaurang Sagar,0,0.0
CUST-00122,Nathan Swamy,1,0.0
CUST-00130,Hritik Dugar,0,0.0
CUST-00133,Vanya Ramachandran,0,0.0
CUST-00137,Chaitanya Narayan,0,0.0
CUST-00141,Warda Prakash,1,0.0
CUST-00191,Falguni Lall,0,0.0
CUST-00198,Bahadurjit Pandya,0,0.0
CUST-00212,Parth Sur,0,0.0
CUST-00232,Deepa Bajwa,0,0.0
CUST-00263,Harish Seshadri,0,0.0
CUST-00281,Manthan Rama,0,0.0
CUST-00304,Tripti Kaur,1,0.0
CUST-00308,Anvi Oza,0,0.0
CUST-00311,Tanmayi Sathe,1,0.0
CUST-00315,Nathan Bhatnagar,0,0.0
CUST-00319,Krish Thakur,0,0.0
CUST-00327,Aarini Goda,0,0.0
CUST-00341,Aashi Gade,0,0.0
CUST-00346,Mohammed Mander,1,0.0
CUST-00357,Advaith Sen,0,0.0
CUST-00366,Girik Srivastava,1,0.0
CUST-00418,Anay Swamy,0,0.0
CUST-00420,Vasana Dora,0,0.0
CUST-00438,Isha Tak,0,0.0
CUST-00460,Dayita Suri,0,0.0
CUST-00475,Indira Morar,0,0.0
CUST-00484,Mitali Seth,0,0.0
CUST-00486,Faraj Nayak,0,0.0
CUST-00495,Atharv Dar,0,0.0
