customer_id,customer_name,customer_type,order_count,lifetime_value
CUST-00083,Atharv Tailor,VIP,2,14227.12
CUST-00084,Dominic Dutt,PREMIUM,4,39595.89
CUST-00085,Divya Chhabra,VIP,2,23426.75
CUST-00086,Hiral Divan,PREMIUM,2,18308.96
CUST-00087,Anusha Shukla,VIP,2,14790.61
CUST-00088,Ekantika Chacko,REGULAR,0,0.0
CUST-00089,Zarna Mitra,REGULAR,1,3676.0
CUST-00090,Gaurang Sagar,REGULAR,0,0.0
CUST-00091,Niharika Bhardwaj,VIP,4,31617.2
CUST-00092,Falak Gopal,REGULAR,3,28287.19
CUST-00093,Mason Sarraf,REGULAR,6,45644.51
CUST-00094,Saanvi Vig,VIP,2,3879.7
CUST-00095,Bhavini Kalla,PREMIUM,2,44202.2
CUST-00096,Sneha Pingle,REGULAR,3,12789.7
CUST-00097,Ansh Parmer,REGULAR,4,64050.11
CUST-00098,Wyatt Dubey,VIP,1,12579.91
CUST-00099,Liam Joshi,PREMIUM,5,21901.25
CUST-00100,Triveni Varma,VIP,5,51474.55
CUST-00102,Vrishti Natarajan,REGULAR,2,6129.16
CUST-00103,Nachiket Balan,PREMIUM,2,15508.34
CUST-00104,Jacob Sastry,REGULAR,1,23484.05
CUST-00105,Shravya Palan,PREMIUM,4,55685.24
CUST-00106,Rajata Balakrishnan,REGULAR,1,99.93
CUST-00107,Ronith Nair,VIP,2,24494.59
CUST-00108,Avni Nayak,PREMIUM,1,18901.26
CUST-00109,Yagnesh Nigam,REGULAR,3,16385.84
CUST-00110,Ronith Varma,PREMIUM,4,17023.77
CUST-00111,Raagini Upadhyay,VIP,3,40829.59
CUST-00112,Logan Manne,PREMIUM,5,29940.85
CUST-00113,Ati Sundaram,REGULAR,3,30724.11
CUST-00114,Matthew Bhakta,REGULAR,1,13148.67
CUST-00115,Barkha Ahuja,PREMIUM,2,10589.38
CUST-00116,Pavani Swaminathan,PREMIUM,4,30056.39
CUST-00117,Jack Chandran,PREMIUM,3,16411.05
CUST-00118,Lila Mishra,VIP,3,61116.66
CUST-00119,Ekaraj Contractor,VIP,6,69880.38
CUST-00120,Sara Brar,PREMIUM,3,62468.04
CUST-00121,Yash Dhaliwal,REGULAR,2,20902.39
CUST-00122,Nathan Swamy,PREMIUM,1,0.0
CUST-00123,Panini Bath,REGULAR,2,7346.92
CUST-00124,Reva Dugar,VIP,6,115179.68
CUST-00125,Rachita Gola,PREMIUM,3,27551.27
CUST-00126,Isha Sastry,REGULAR,2,52938.28
CUST-00127,Aadhya Hora,VIP,6,59234.03
CUST-00128,Jairaj Pandey,VIP,3,51108.91
CUST-00129,Vanya Thaman,REGULAR,3,42263.44
CUST-00130,Hritik Dugar,PREMIUM,0,0.0
CUST-00131,Laban Wadhwa,REGULAR,2,11948.68
CUST-00132,Leena Ratti,REGULAR,3,9225.06
CUST-00133,Vanya Ramachandran,VIP,0,0.0
CUST-00134,Oscar Yogi,PREMIUM,1,7699.65
CUST-00135,Neelima Andra,VIP,5,49288.69
CUST-00136,Omkaar More,PREMIUM,2,43802.91
CUST-00137,Chaitanya Narayan,VIP,0,0.0
CUST-00138,Sai Dugal,VIP,3,31559.47
CUST-00139,Maya Chauhan,PREMIUM,5,99861.51
CUST-00140,Aayush Sodhi,VIP,2,20539.42
CUST-00141,Warda Prakash,PREMIUM,1,0.0
CUST-00142,Sai Vala,VIP,1,2291.64
CUST-00143,Dalbir Hegde,PREMIUM,5,115815.77
CUST-00144,Ekaja Venkatesh,PREMIUM,2,4089.27
CUST-00145,Kalpit Mitra,VIP,2,39648.56
CUST-00146,Reva Prabhu,VIP,2,10519.27
CUST-00147,Tripti Dayal,PREMIUM,2,17196.53
CUST-00148,Vivaan Mital,VIP,2,15436.02
CUST-00149,Yashawini Swaminathan,REGULAR,5,65258.0
CUST-00150,Megha Chaudhary,REGULAR,3,26807.51
CUST-00152,Abhimanyu Reddy,PREMIUM,4,47467.14
CUST-00153,Ekalinga Bala,PREMIUM,4,34303.56
CUST-00154,Shaurya Raja,REGULAR,3,24816.67
CUST-00155,Balendra Roy,VIP,2,33998.92
CUST-00156,Indira Ben,VIP,6,77320.72
CUST-00157,Irya Narayan,VIP,3,25112.93
CUST-00158,Orinder Purohit,VIP,3,25487.03
CUST-00159,Rishi Bains,PREMIUM,3,47878.14
CUST-00160,Owen Upadhyay,VIP,2,28863.97
CUST-00161,Varsha Setty,VIP,1,10614.03
CUST-00162,Garima Bhagat,VIP,5,54005.84
CUST-00163,Oni Gola,VIP,4,33959.42
CUST-00164,Ekansh Narayan,REGULAR,3,22202.46
CUST-00165,Praneel Shroff,REGULAR,4,30777.12
CUST-00166,Anmol Sarkar,REGULAR,3,57266.72
CUST-00167,Yahvi Suri,REGULAR,3,18053.6
CUST-00168,Aarav Bose,VIP,2,12787.52
CUST-00169,Atharv Baria,REGULAR,4,31316.77
CUST-00170,Tanay Tripathi,REGULAR,3,24101.96
CUST-00171,Raagini Borah,PREMIUM,3,33366.08
CUST-00172,Lakshmi Wason,VIP,6,67395.93
CUST-00173,Kabir Krishna,REGULAR,4,20289.01
CUST-00174,Harita Sandal,PREMIUM,3,40940.91
CUST-00175,Ubika Badami,REGULAR,3,8362.93
CUST-00176,Teerth Hari,VIP,2,12718.04
CUST-00177,Aadi Nigam,VIP,5,54021.33
CUST-00178,Aadi Bhat,PREMIUM,4,14070.08
CUST-00179,Shaurya Sur,VIP,1,22436.65
CUST-00180,Ekaraj Tripathi,PREMIUM,2,28707.0
CUST-00181,Aradhana Bala,REGULAR,6,45702.64
CUST-00182,Jeevika Mander,PREMIUM,4,47343.68
CUST-00183,Timothy Nigam,VIP,2,24119.81
CUST-00184,Gaurangi Rau,PREMIUM,4,51380.26
CUST-00185,Jeet Deo,PREMIUM,2,23901.7
CUST-00186,Ansh Deo,PREMIUM,2,34229.5
CUST-00187,Arunima Sagar,VIP,1,6482.28
CUST-00188,Kai Karan,PREMIUM,5,50780.91
CUST-00189,Ishita Dhaliwal,REGULAR,5,51046.28
CUST-00190,Henry Lad,PREMIUM,3,30612.8
CUST-00191,Falguni Lall,REGULAR,0,0.0
CUST-00192,Zashil Patil,PREMIUM,6,62386.41
CUST-00193,Anirudh Rege,PREMIUM,1,6976.85
CUST-00194,Chakradev Samra,VIP,3,61190.44
CUST-00195,Gaurav Narasimhan,REGULAR,3,34771.65
CUST-00196,Krishna Sibal,PREMIUM,3,19130.92
CUST-00197,Manthan Balan,VIP,1,15973.78
CUST-00198,Bahadurjit Pandya,REGULAR,0,0.0
CUST-00199,Aarnav Sastry,REGULAR,1,3683.3
CUST-00200,Chaman De,PREMIUM,1,14739.04
CUST-00202,Abdul Murty,PREMIUM,2,11149.48
CUST-00203,Saanvi Bajwa,PREMIUM,5,23171.91
CUST-00204,Zansi Gala,VIP,1,9194.23
CUST-00205,Siddharth Varkey,PREMIUM,2,20354.9
CUST-00206,Gaurika Dhar,REGULAR,4,39671.69
CUST-00207,Suhani Chowdhury,VIP,2,7715.67
CUST-00208,Hritik Dasgupta,REGULAR,1,12770.91
CUST-00209,Umang Shetty,VIP,3,41902.69
CUST-00210,Warda Yadav,PREMIUM,1,24776.32
CUST-00211,Devansh Das,REGULAR,4,66935.11
CUST-00212,Parth Sur,PREMIUM,0,0.0
CUST-00213,Ikbal Bedi,VIP,5,31666.38
CUST-00214,Yachana Aggarwal,REGULAR,4,33655.32
CUST-00215,Hemani Gokhale,REGULAR,2,37099.32
CUST-00216,Logan Murty,VIP,4,23948.15
CUST-00217,Manthan Shere,VIP,4,41326.91
CUST-00218,Ekavir Mukherjee,REGULAR,3,30096.34
CUST-00219,Chasmum Khanna,PREMIUM,7,66869.8
CUST-00220,Falan Kadakia,PREMIUM,3,16610.54
CUST-00221,Chanchal Bhat,VIP,3,38814.49
CUST-00222,Utkarsh Bhasin,VIP,2,25175.91
CUST-00223,Chakradev Karnik,PREMIUM,3,20607.23
CUST-00224,Urishilla Sibal,REGULAR,2,23752.35
CUST-00225,Mohini Apte,PREMIUM,2,37414.32
CUST-00226,Farhan Sami,VIP,5,58688.96
CUST-00227,Yahvi Chatterjee,PREMIUM,5,80802.92
CUST-00228,Harinakshi Tailor,PREMIUM,2,31824.08
CUST-00229,Fitan Sarkar,REGULAR,4,25791.46
CUST-00230,Tanvi Narayan,VIP,2,3697.41
CUST-00231,Charles Soni,VIP,2,21956.88
CUST-00232,Deepa Bajwa,REGULAR,0,0.0
CUST-00233,Karan Mandal,VIP,8,52315.68
CUST-00234,Neha Purohit,REGULAR,5,31366.25
CUST-00235,Amruta Viswanathan,PREMIUM,1,15884.8
CUST-00236,Neelima Bhardwaj,REGULAR,2,26016.34
CUST-00237,Dalaja Parsa,VIP,2,27571.57
CUST-00238,Avni Suresh,PREMIUM,2,7491.55
CUST-00239,Mason Ramakrishnan,REGULAR,4,53161.4
CUST-00240,Urvashi Anand,PREMIUM,4,14331.86
CUST-00242,Geetika Keer,REGULAR,4,39988.52
CUST-00243,Vasudha Rai,VIP,4,16802.43
CUST-00244,Ridhi Mistry,VIP,4,40450.41
CUST-00245,Rohan Krishnamurthy,VIP,4,27495.09
CUST-00246,Kiaan Sharaf,VIP,1,5621.18
CUST-00247,Ayaan Dave,PREMIUM,5,36799.88
CUST-00248,Sai Dube,PREMIUM,2,17452.59
CUST-00249,Zashil Desai,VIP,4,25735.42
CUST-00250,Upma Raj,PREMIUM,1,13575.13
CUST-00252,Pratyush Sandhu,VIP,5,22073.38
CUST-00253,Harini Dhar,REGULAR,1,23775.65
CUST-00254,Fitan Khanna,VIP,4,27739.83
CUST-00255,Rushil Nagi,PREMIUM,3,45514.79
CUST-00256,Vinaya Sharma,PREMIUM,3,16469.28
CUST-00257,Ayushman Nigam,REGULAR,3,22239.45
CUST-00258,Tanay Bansal,VIP,3,33869.09
CUST-00259,Oeshi Wali,VIP,1,28042.94
CUST-00260,Jhalak Hans,PREMIUM,1,27393.99
CUST-00261,Yatin Dhaliwal,REGULAR,6,125061.2
CUST-00262,Chameli Chahal,PREMIUM,2,9531.15
CUST-00263,Harish Seshadri,PREMIUM,0,0.0
CUST-00264,Fiyaz Srivastava,PREMIUM,4,60829.4
CUST-00265,Om Amble,VIP,2,7017.88
CUST-00266,Ekavir Bassi,REGULAR,1,6587.15
CUST-00267,Yochana Ahluwalia,REGULAR,4,57788.25
CUST-00268,Krishna Patla,PREMIUM,1,7295.29
CUST-00269,Ikshita Sharma,PREMIUM,2,30345.85
CUST-00270,Brinda Lad,PREMIUM,3,34242.71
CUST-00271,Kashish Mittal,PREMIUM,4,15177.78
CUST-00272,Mitali Srinivasan,PREMIUM,3,58649.16
CUST-00273,Yamini Handa,VIP,1,85.83
CUST-00274,Anirudh Warrior,REGULAR,3,7408.41
CUST-00275,Laksh Suresh,VIP,3,21599.64
CUST-00276,Vasana Nayak,REGULAR,1,27584.28
CUST-00277,Dhruv Bose,PREMIUM,2,40285.79
CUST-00278,Ekaja Chaudhary,VIP,3,56895.47
CUST-00279,Om Handa,VIP,3,58771.99
CUST-00280,Varenya Sabharwal,VIP,6,100300.41
CUST-00281,Manthan Rama,REGULAR,0,0.0
CUST-00282,Yatin Chandra,REGULAR,4,34739.92
CUST-00283,Vedant Bahri,PREMIUM,2,6056.44
CUST-00284,Ekaraj Sibal,PREMIUM,2,29129.35
CUST-00285,Bishakha Bal,PREMIUM,1,12163.21
CUST-00286,Waida Apte,VIP,2,12721.18
CUST-00287,Henry Ramaswamy,PREMIUM,1,5532.32
CUST-00288,Kevin Ratti,PREMIUM,1,6991.68
CUST-00289,Aadhya Sridhar,VIP,4,49852.89
CUST-00290,Hardik Suresh,VIP,3,12032.66
CUST-00291,Gautami Sodhi,PREMIUM,3,26386.14
CUST-00292,Gunbir Mukhopadhyay,REGULAR,4,19464.88
CUST-00293,Liam Chander,VIP,5,116091.71
CUST-00294,Madhavi Narayanan,VIP,1,4294.26
CUST-00295,Arin Varty,REGULAR,1,19324.39
CUST-00296,Warinder Shroff,PREMIUM,4,28356.91
CUST-00297,Guneet Som,VIP,5,19568.23
CUST-00298,Baljiwan Chaudhuri,VIP,3,41063.35
CUST-00299,Warinder Suresh,VIP,4,46409.19
CUST-00300,Aryan Vohra,VIP,3,53315.35
CUST-00302,Faqid Bassi,PREMIUM,3,20493.81
CUST-00303,Dev Ganguly,PREMIUM,3,28081.49
CUST-00304,Tripti Kaur,VIP,1,0.0
CUST-00305,Netra Karan,VIP,2,3289.31
CUST-00306,Watika Sodhi,PREMIUM,3,34610.32
CUST-00307,Megha Balan,PREMIUM,3,34592.59
CUST-00308,Anvi Oza,REGULAR,0,0.0
CUST-00309,Amol Om,VIP,4,64418.84
CUST-00310,Varsha Devan,VIP,3,11128.25
CUST-00311,Tanmayi Sathe,VIP,1,0.0
CUST-00312,Vedhika Som,VIP,3,41206.05
CUST-00313,Ojas Seth,PREMIUM,3,35429.15
CUST-00314,Kabir Bahri,REGULAR,5,9332.7
CUST-00315,Nathan Bhatnagar,PREMIUM,0,0.0
CUST-00316,Elijah Varghese,PREMIUM,1,5584.79
CUST-00317,Saksham Khosla,VIP,3,15418.64
CUST-00318,Anusha Kalla,VIP,2,25174.88
CUST-00319,Krish Thakur,REGULAR,0,0.0
CUST-00320,Umang Bhardwaj,PREMIUM,2,24431.77
CUST-00321,Avi Dewan,REGULAR,2,13660.01
CUST-00322,Jhalak Pandey,REGULAR,3,14867.33
CUST-00323,Wazir Lal,VIP,3,49523.11
CUST-00324,Upasna Ray,PREMIUM,1,10926.74
CUST-00325,Ati Madan,REGULAR,3,49105.74
CUST-00326,Jagat Pandey,PREMIUM,3,48689.13
CUST-00327,Aarini Goda,PREMIUM,0,0.0
CUST-00328,Chakradev Madan,REGULAR,2,27850.28
CUST-00329,Jagat Srinivas,VIP,4,54900.24
CUST-00330,Indrajit Bhatnagar,PREMIUM,2,5448.46
CUST-00331,Gaurang Pal,REGULAR,1,5968.05
CUST-00332,Chanakya Kanda,PREMIUM,3,11888.3
CUST-00333,Lekha Aggarwal,VIP,6,59252.98
CUST-00334,Mahika Swaminathan,VIP,8,65404.64
CUST-00335,Gauri Deo,VIP,2,5722.67
CUST-00336,Ishani Deshmukh,REGULAR,4,25595.54
CUST-00337,Aishani Gopal,REGULAR,1,10929.75
CUST-00338,Charan Sidhu,REGULAR,3,27475.57
CUST-00339,Luke Raj,VIP,2,21952.74
CUST-00340,Charvi Srinivasan,PREMIUM,4,28648.78
CUST-00341,Aashi Gade,VIP,0,0.0
CUST-00342,Lucky Menon,VIP,4,63406.93
CUST-00343,Chanakya Chakraborty,REGULAR,2,6664.28
CUST-00344,Gaurika Bhatia,PREMIUM,5,40146.11
CUST-00345,Ria Natt,VIP,2,11552.05
CUST-00346,Mohammed Mander,PREMIUM,1,0.0
CUST-00347,Faras Sampath,VIP,2,40247.99
CUST-00348,Waida Bahri,REGULAR,6,58237.61
CUST-00349,Upma Amble,REGULAR,3,24744.89
CUST-00350,Priya Modi,REGULAR,5,82533.49
CUST-00352,Chanakya Rastogi,REGULAR,4,39968.92
CUST-00353,Wishi Mangal,PREMIUM,3,52495.62
CUST-00354,Reyansh Tripathi,PREMIUM,4,50795.83
CUST-00355,Zayan Chaudry,REGULAR,2,4198.08
CUST-00356,Anvi Ben,REGULAR,1,17100.39
CUST-00357,Advaith Sen,PREMIUM,0,0.0
CUST-00358,Raghav Kumar,PREMIUM,4,36544.41
CUST-00359,Januja Samra,VIP,4,55181.98
CUST-00360,Tanvi Bath,PREMIUM,3,35621.21
CUST-00362,Lucky Gokhale,PREMIUM,4,28293.26
CUST-00363,Krisha Sridhar,REGULAR,5,76423.88
CUST-00364,Urmi Wali,REGULAR,2,27848.22
CUST-00365,Ayush Zacharia,VIP,3,30905.22
CUST-00366,Girik Srivastava,VIP,1,0.0
CUST-00367,Barkha Bora,PREMIUM,7,65171.2
CUST-00368,Yochana Kari,VIP,2,27721.04
CUST-00369,Simon Yadav,PREMIUM,6,81720.29
CUST-00370,Daniel Ravel,VIP,2,38825.99
CUST-00371,Rayaan Golla,VIP,1,6548.7
CUST-00372,Gautami Boase,REGULAR,4,26612.64
CUST-00373,Christopher Chad,REGULAR,5,32052.47
CUST-00374,Mugdha Gaba,PREMIUM,3,33547.6
CUST-00375,Sarthak Ravi,PREMIUM,4,26273.38
CUST-00376,Jairaj Goel,REGULAR,4,28519.23
CUST-00377,David Dugal,REGULAR,2,17189.16
CUST-00378,Fitan Khalsa,PREMIUM,1,5337.64
CUST-00379,Urvi Kala,VIP,4,15845.12
CUST-00380,Shravya Jaggi,PREMIUM,2,26152.95
CUST-00381,Azaan Sehgal,VIP,5,36848.27
CUST-00382,Gavin Sanghvi,REGULAR,3,24150.48
CUST-00383,Lajita Pandey,PREMIUM,1,11195.52
CUST-00384,Harsh Deo,REGULAR,5,69878.04
CUST-00385,Eesha Kibe,VIP,3,36583.34
CUST-00386,Netra Hayre,VIP,3,24925.54
CUST-00387,Sai Dube,VIP,2,27896.16
CUST-00388,Balendra Sem,REGULAR,3,21971.91
CUST-00389,Qasim Sha,REGULAR,3,23689.01
CUST-00390,Parth Pandit,VIP,3,55426.17
CUST-00391,Samarth Om,REGULAR,3,22099.1
CUST-00392,Orinder Panchal,REGULAR,4,24134.0
CUST-00393,Vamakshi Gupta,REGULAR,3,28263.57
CUST-00394,Nachiket Sankaran,REGULAR,2,16028.06
CUST-00395,Darika Zacharia,REGULAR,3,41288.68
CUST-00396,Samarth Johal,REGULAR,3,29469.69
CUST-00397,Prisha Mitra,REGULAR,2,21994.35
CUST-00398,Ucchal Kamdar,PREMIUM,5,38148.51
CUST-00399,Rachana Pal,PREMIUM,4,25027.87
CUST-00400,Faras Parmar,VIP,3,5446.92
CUST-00402,Lila Basu,PREMIUM,2,19538.98
CUST-00403,Leena Shetty,PREMIUM,4,22117.1
CUST-00404,Pushti Raghavan,VIP,3,27775.71
CUST-00405,Gaurang D’Alia,PREMIUM,4,60084.03
CUST-00406,Gautami Dada,REGULAR,1,6983.6
CUST-00407,Kamya Loke,PREMIUM,3,10999.33
CUST-00408,Hamsini Joshi,PREMIUM,5,66884.12
CUST-00409,Krishna Dara,REGULAR,4,51187.38
CUST-00410,Niharika Dutt,PREMIUM,3,12113.17
CUST-00411,Faras Bhalla,VIP,5,34290.63
CUST-00412,Vedika Malhotra,PREMIUM,2,41722.31
CUST-00413,Vasatika Gara,PREMIUM,3,45325.38
CUST-00414,George Chaudhry,VIP,5,65578.08
CUST-00415,Triya Krishna,PREMIUM,3,36625.23
CUST-00416,Nicholas Chana,VIP,1,6481.71
CUST-00417,Megha Barad,VIP,4,48338.96
CUST-00418,Anay Swamy,PREMIUM,0,0.0
CUST-00419,Abhiram Apte,PREMIUM,5,53162.1
CUST-00420,Vasana Dora,VIP,0,0.0
CUST-00421,Omkaar Khare,VIP,4,20435.02
CUST-00422,Omkaar Bhatnagar,PREMIUM,1,10713.98
CUST-00423,Yagnesh Raghavan,PREMIUM,2,23378.8
CUST-00424,Pranav Pandya,PREMIUM,2,17822.48
CUST-00425,Anamika Uppal,PREMIUM,3,29250.73
CUST-00426,Chaitanya Singhal,REGULAR,3,40962.75
CUST-00427,Lakshit Ramesh,PREMIUM,5,90579.34
CUST-00428,Harrison Kashyap,REGULAR,3,34629.91
CUST-00429,Janya Doctor,PREMIUM,2,14779.92
CUST-00430,Faraj Saraf,PREMIUM,2,42617.22
CUST-00431,Daksh Sarin,VIP,6,82627.95
CUST-00432,Nimrat Krishna,REGULAR,4,36174.31
CUST-00433,Balveer Chahal,REGULAR,2,7366.79
CUST-00434,Aditya Sheth,PREMIUM,4,58113.49
CUST-00435,Finn Dar,REGULAR,3,21541.71
CUST-00436,Inaya Barad,VIP,4,49466.2
CUST-00437,Girindra Rao,VIP,4,49073.6
CUST-00438,Isha Tak,PREMIUM,0,0.0
CUST-00439,Pahal Trivedi,PREMIUM,5,42723.88
CUST-00440,Bahadurjit Salvi,PREMIUM,3,20373.18
CUST-00441,Zinal Reddy,REGULAR,5,57711.18
CUST-00442,Xavier Gulati,REGULAR,2,16695.6
CUST-00443,Champak Ganesan,REGULAR,5,48153.5
CUST-00444,Jackson Batta,REGULAR,3,43516.79
CUST-00445,Oeshi Nori,VIP,1,23465.06
CUST-00446,Theodore Dara,PREMIUM,3,6760.44
CUST-00447,Pavani Nagy,PREMIUM,5,64562.35
CUST-00448,Yuvraj Sethi,VIP,2,14367.86
CUST-00449,Bakhshi Khanna,PREMIUM,3,43934.25
CUST-00450,Advik Singhal,REGULAR,4,48589.17
CUST-00452,Sara Vasa,PREMIUM,3,40883.56
CUST-00453,Tara Manne,VIP,1,6119.78
CUST-00454,Ria Shanker,REGULAR,7,46413.4
CUST-00455,Tanay Lata,REGULAR,2,7302.65
CUST-00456,Yashica Ramakrishnan,VIP,1,12967.01
CUST-00457,Watika Kota,VIP,3,28874.87
CUST-00458,Onveer Banerjee,VIP,4,27697.22
CUST-00459,Damyanti Som,PREMIUM,5,30404.43
CUST-00460,Dayita Suri,PREMIUM,0,0.0
CUST-00461,Tanvi Pathak,PREMIUM,2,11724.97
CUST-00462,Bishakha Gara,PREMIUM,2,9350.2
CUST-00463,Dominic Rajan,PREMIUM,2,20869.13
CUST-00464,Viraj Balakrishnan,PREMIUM,2,21016.38
CUST-00465,Henry Som,PREMIUM,3,40397.88
CUST-00466,Omaja Shukla,VIP,3,23919.99
CUST-00467,Bimala Issac,PREMIUM,5,26443.91
CUST-00468,Zansi Brahmbhatt,PREMIUM,1,5188.07
CUST-00469,Balendra Rajagopal,VIP,1,8119.7
CUST-00470,Jagrati Raghavan,REGULAR,2,3578.3
CUST-00471,Tristan Borde,VIP,3,15889.88
CUST-00472,Qasim Shanker,REGULAR,2,22587.32
CUST-00473,Anita Solanki,PREMIUM,3,26310.07
CUST-00474,Nilima Lanka,PREMIUM,3,14940.71
CUST-00475,Indira Morar,PREMIUM,0,0.0
CUST-00476,Aayush Borra,REGULAR,1,5411.44
CUST-00477,Omaja Dugar,REGULAR,4,24873.15
CUST-00478,Alka Manne,REGULAR,3,19846.83
CUST-00479,Ridhi Sibal,VIP,4,44794.89
CUST-00480,Radhika Hayre,REGULAR,4,24344.67
CUST-00482,Gauri Parmer,REGULAR,5,30524.62
CUST-00483,Victor Sheth,VIP,2,10383.7
CUST-00484,Mitali Seth,PREMIUM,0,0.0
CUST-00485,Caleb Trivedi,VIP,3,33249.75
CUST-00486,Faraj Nayak,VIP,0,0.0
CUST-00487,Nitara Gandhi,REGULAR,1,10426.98
CUST-00488,Kai Johal,VIP,2,28850.91
CUST-00489,Wazir Saha,VIP,3,46436.54
CUST-00490,Oliver Chad,REGULAR,2,24298.48
CUST-00491,Maya Wali,VIP,1,11582.66
CUST-00492,Indrajit Setty,REGULAR,5,56381.99
CUST-00493,Shaurya Dhaliwal,REGULAR,4,70319.41
CUST-00494,Shravya Patil,PREMIUM,6,40007.11
CUST-00495,Atharv Dar,VIP,0,0.0
CUST-00496,Kai Suresh,VIP,2,15441.53
CUST-00497,Harish Nazareth,REGULAR,4,26911.3
